zone,box_id,rack_name,slot_id,row,col,x_mm,y_mm,z_insert_mm,z_pick_75mm,z_pick_100mm,z_place_75mm,z_place_100mm,slot_role,notes
input,input_box_2,input_box_2_4x6,B1,B,1,-400.000,169.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,B2,B,2,-372.000,169.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,B3,B,3,-344.000,169.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,B4,B,4,-316.000,169.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,B5,B,5,-288.000,169.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,B6,B,6,-260.000,169.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,C1,C,1,-400.000,141.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,C2,C,2,-372.000,141.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,C3,C,3,-344.000,141.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,C4,C,4,-316.000,141.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,C5,C,5,-288.000,141.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,C6,C,6,-260.000,141.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,D1,D,1,-400.000,113.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,D2,D,2,-372.000,113.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,D3,D,3,-344.000,113.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
