run_id,sample_id,category,barcode_status,is_abnormal,input_box_id,input_slot_id,target_zone,target_box_id,target_slot_id,num_waypoints,xy_distance_mm,z_distance_mm,motion_time_s,pick_time_s,scan_time_s,place_time_s,queue_wait_time_s,operator_wait_time_s,alarm_wait_time_s,total_cycle_time_s,final_status,notes
baseline_multi_box_run,MBOX-029,Category C,success,no,input_box_2,A5,output_C,category_C_output_box,B1,12,447.228,750.000,5.564,1.200,0.550,1.200,0.000,0.000,0.000,8.514,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-030,Category D,success,no,input_box_2,A6,output_D,category_D_output_box,B1,12,630.449,850.000,6.692,1.200,0.550,1.200,0.000,0.000,0.000,9.642,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-031,Category A,success,no,input_box_2,B1,output_A,category_A_output_box,B2,12,568.175,850.000,6.498,1.200,0.550,1.200,0.000,0.000,0.000,9.448,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-032,Category B,success,no,input_box_2,B2,output_B,category_B_output_box,B2,12,740.479,750.000,6.481,1.200,0.550,1.200,0.000,0.000,0.000,9.431,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-033,Category C,success,no,input_box_2,B3,output_C,category_C_output_box,B2,12,503.250,850.000,6.295,1.200,0.550,1.200,0.000,0.000,0.000,9.245,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-034,Category D,success,no,input_box_2,B4,output_D,category_D_output_box,B2,12,682.855,850.000,6.856,1.200,0.550,1.200,0.000,0.000,0.000,9.806,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-035,Category A,success,no,input_box_2,B5,output_A,category_A_output_box,B3,12,495.531,750.000,5.715,1.200,0.550,1.200,0.000,0.000,0.000,8.665,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-036,Category B,success,no,input_box_2,B6,output_B,category_B_output_box,B3,12,673.379,850.000,6.827,1.200,0.550,1.200,0.000,0.000,0.000,9.777,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-037,unknown,invalid,yes,input_box_2,C1,manual_review,manual_review_bin,A3,12,618.533,850.000,6.655,1.200,0.550,1.200,0.000,0.000,0.000,9.605,placed_manual_review,abnormal
baseline_multi_box_run,MBOX-038,Category C,success,no,input_box_2,C2,output_C,category_C_output_box,B3,12,544.384,750.000,5.868,1.200,0.550,1.200,0.000,0.000,0.000,8.818,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-039,Category D,success,no,input_box_2,C3,output_D,category_D_output_box,B3,12,722.893,850.000,6.981,1.200,0.550,1.200,0.000,0.000,0.000,9.931,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-040,Category A,success,no,input_box_2,C4,output_A,category_A_output_box,B4,12,531.342,850.000,6.383,1.200,0.550,1.200,0.000,0.000,0.000,9.333,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-041,Category B,success,no,input_box_2,C5,output_B,category_B_output_box,B4,12,707.188,750.000,6.377,1.200,0.550,1.200,0.000,0.000,0.000,9.327,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-042,Category C,success,no,input_box_2,C6,output_C,category_C_output_box,B4,12,470.343,850.000,6.192,1.200,0.550,1.200,0.000,0.000,0.000,9.142,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-043,Category D,success,no,input_box_2,D1,output_D,category_D_output_box,B4,12,796.357,850.000,7.211,1.200,0.550,1.200,0.000,0.000,0.000,10.161,placed_output,normal completed trajectory
