trajectory_id,sample_id,step_order,state,x_mm,y_mm,z_mm,within_x_range,within_y_range,within_z_range,check_status,notes
traj_004,TUBE-004,12,RETREAT_TO_SAFE_Z,222.000,-146.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_005,TUBE-005,1,MOVE_SAFE_ABOVE_INPUT,-118.000,342.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_005,TUBE-005,2,APPROACH_INPUT_SLOT,-118.000,342.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_005,TUBE-005,3,PICK_TUBE,-118.000,342.000,55.000,yes,yes,yes,ok,within Stage 6A workspace
traj_005,TUBE-005,4,LIFT_TO_SAFE_Z,-118.000,342.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_005,TUBE-005,5,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_005,TUBE-005,6,APPROACH_SCAN_STATION,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_005,TUBE-005,7,SCAN_BARCODE,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_005,TUBE-005,8,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_005,TUBE-005,9,MOVE_SAFE_ABOVE_TARGET,222.000,-316.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_005,TUBE-005,10,APPROACH_TARGET_SLOT,222.000,-316.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_005,TUBE-005,11,PLACE_TUBE,222.000,-316.000,45.000,yes,yes,yes,ok,within Stage 6A workspace
traj_005,TUBE-005,12,RETREAT_TO_SAFE_Z,222.000,-316.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_006,TUBE-006,1,MOVE_SAFE_ABOVE_INPUT,-90.000,342.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_006,TUBE-006,2,APPROACH_INPUT_SLOT,-90.000,342.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_006,TUBE-006,3,PICK_TUBE,-90.000,342.000,55.000,yes,yes,yes,ok,within Stage 6A workspace
traj_006,TUBE-006,4,LIFT_TO_SAFE_Z,-90.000,342.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_006,TUBE-006,5,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_006,TUBE-006,6,APPROACH_SCAN_STATION,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_006,TUBE-006,7,SCAN_BARCODE,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_006,TUBE-006,8,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_006,TUBE-006,9,MOVE_SAFE_ABOVE_TARGET,90.000,-146.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_006,TUBE-006,10,APPROACH_TARGET_SLOT,90.000,-146.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_006,TUBE-006,11,PLACE_TUBE,90.000,-146.000,45.000,yes,yes,yes,ok,within Stage 6A workspace
traj_006,TUBE-006,12,RETREAT_TO_SAFE_Z,90.000,-146.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_007,TUBE-007,1,MOVE_SAFE_ABOVE_INPUT,-230.000,314.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_007,TUBE-007,2,APPROACH_INPUT_SLOT,-230.000,314.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_007,TUBE-007,3,PICK_TUBE,-230.000,314.000,80.000,yes,yes,yes,ok,within Stage 6A workspace
traj_007,TUBE-007,4,LIFT_TO_SAFE_Z,-230.000,314.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_007,TUBE-007,5,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_007,TUBE-007,6,APPROACH_SCAN_STATION,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_007,TUBE-007,7,SCAN_BARCODE,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_007,TUBE-007,8,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_007,TUBE-007,9,MOVE_SAFE_ABOVE_TARGET,250.000,-146.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_007,TUBE-007,10,APPROACH_TARGET_SLOT,250.000,-146.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_007,TUBE-007,11,PLACE_TUBE,250.000,-146.000,70.000,yes,yes,yes,ok,within Stage 6A workspace
traj_007,TUBE-007,12,RETREAT_TO_SAFE_Z,250.000,-146.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_008,TUBE-008,1,MOVE_SAFE_ABOVE_INPUT,-202.000,314.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_008,TUBE-008,2,APPROACH_INPUT_SLOT,-202.000,314.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_008,TUBE-008,3,PICK_TUBE,-202.000,314.000,55.000,yes,yes,yes,ok,within Stage 6A workspace
traj_008,TUBE-008,4,LIFT_TO_SAFE_Z,-202.000,314.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_008,TUBE-008,5,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_008,TUBE-008,6,APPROACH_SCAN_STATION,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_008,TUBE-008,7,SCAN_BARCODE,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_008,TUBE-008,8,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_008,TUBE-008,9,MOVE_SAFE_ABOVE_TARGET,90.000,-316.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_008,TUBE-008,10,APPROACH_TARGET_SLOT,90.000,-316.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_008,TUBE-008,11,PLACE_TUBE,90.000,-316.000,45.000,yes,yes,yes,ok,within Stage 6A workspace
traj_008,TUBE-008,12,RETREAT_TO_SAFE_Z,90.000,-316.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_009,TUBE-009,1,MOVE_SAFE_ABOVE_INPUT,-174.000,314.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_009,TUBE-009,2,APPROACH_INPUT_SLOT,-174.000,314.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
