frame_id,sample_id,state,x_mm,y_mm,target_zone,event_label,notes
59,TUBE-005,PLACE_TUBE,222.000,-316.000,category_d_bin,Category D,place 75 mm tube
60,TUBE-005,RETREAT_TO_SAFE_Z,222.000,-316.000,category_d_bin,Category D,retreat after place
61,TUBE-006,MOVE_SAFE_ABOVE_INPUT,-90.000,342.000,category_a_bin,Category A,above input slot
62,TUBE-006,APPROACH_INPUT_SLOT,-90.000,342.000,category_a_bin,Category A,approach input slot
63,TUBE-006,PICK_TUBE,-90.000,342.000,category_a_bin,Category A,grip 75 mm tube
64,TUBE-006,LIFT_TO_SAFE_Z,-90.000,342.000,category_a_bin,Category A,lift picked tube
65,TUBE-006,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_a_bin,Category A,move above scan station
66,TUBE-006,APPROACH_SCAN_STATION,-92.000,170.000,category_a_bin,Category A,present tube to scanner
67,TUBE-006,SCAN_BARCODE,-92.000,170.000,category_a_bin,Category A,scan and classify sample
68,TUBE-006,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_a_bin,Category A,lift after scan
69,TUBE-006,MOVE_SAFE_ABOVE_TARGET,90.000,-146.000,category_a_bin,Category A,move above selected target
70,TUBE-006,APPROACH_TARGET_SLOT,90.000,-146.000,category_a_bin,Category A,approach target slot
71,TUBE-006,PLACE_TUBE,90.000,-146.000,category_a_bin,Category A,place 75 mm tube
72,TUBE-006,RETREAT_TO_SAFE_Z,90.000,-146.000,category_a_bin,Category A,retreat after place
73,TUBE-007,MOVE_SAFE_ABOVE_INPUT,-230.000,314.000,category_b_bin,Category B,above input slot
74,TUBE-007,APPROACH_INPUT_SLOT,-230.000,314.000,category_b_bin,Category B,approach input slot
75,TUBE-007,PICK_TUBE,-230.000,314.000,category_b_bin,Category B,grip 100 mm tube
76,TUBE-007,LIFT_TO_SAFE_Z,-230.000,314.000,category_b_bin,Category B,lift picked tube
77,TUBE-007,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_b_bin,Category B,move above scan station
78,TUBE-007,APPROACH_SCAN_STATION,-92.000,170.000,category_b_bin,Category B,present tube to scanner
79,TUBE-007,SCAN_BARCODE,-92.000,170.000,category_b_bin,Category B,scan and classify sample
80,TUBE-007,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_b_bin,Category B,lift after scan
81,TUBE-007,MOVE_SAFE_ABOVE_TARGET,250.000,-146.000,category_b_bin,Category B,move above selected target
82,TUBE-007,APPROACH_TARGET_SLOT,250.000,-146.000,category_b_bin,Category B,approach target slot
83,TUBE-007,PLACE_TUBE,250.000,-146.000,category_b_bin,Category B,place 100 mm tube
84,TUBE-007,RETREAT_TO_SAFE_Z,250.000,-146.000,category_b_bin,Category B,retreat after place
85,TUBE-008,MOVE_SAFE_ABOVE_INPUT,-202.000,314.000,category_c_bin,Category C,above input slot
86,TUBE-008,APPROACH_INPUT_SLOT,-202.000,314.000,category_c_bin,Category C,approach input slot
87,TUBE-008,PICK_TUBE,-202.000,314.000,category_c_bin,Category C,grip 75 mm tube
88,TUBE-008,LIFT_TO_SAFE_Z,-202.000,314.000,category_c_bin,Category C,lift picked tube
89,TUBE-008,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_c_bin,Category C,move above scan station
90,TUBE-008,APPROACH_SCAN_STATION,-92.000,170.000,category_c_bin,Category C,present tube to scanner
91,TUBE-008,SCAN_BARCODE,-92.000,170.000,category_c_bin,Category C,scan and classify sample
92,TUBE-008,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_c_bin,Category C,lift after scan
93,TUBE-008,MOVE_SAFE_ABOVE_TARGET,90.000,-316.000,category_c_bin,Category C,move above selected target
94,TUBE-008,APPROACH_TARGET_SLOT,90.000,-316.000,category_c_bin,Category C,approach target slot
95,TUBE-008,PLACE_TUBE,90.000,-316.000,category_c_bin,Category C,place 75 mm tube
96,TUBE-008,RETREAT_TO_SAFE_Z,90.000,-316.000,category_c_bin,Category C,retreat after place
97,TUBE-009,MOVE_SAFE_ABOVE_INPUT,-174.000,314.000,category_d_bin,Category D,above input slot
98,TUBE-009,APPROACH_INPUT_SLOT,-174.000,314.000,category_d_bin,Category D,approach input slot
99,TUBE-009,PICK_TUBE,-174.000,314.000,category_d_bin,Category D,grip 75 mm tube
100,TUBE-009,LIFT_TO_SAFE_Z,-174.000,314.000,category_d_bin,Category D,lift picked tube
101,TUBE-009,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_d_bin,Category D,move above scan station
102,TUBE-009,APPROACH_SCAN_STATION,-92.000,170.000,category_d_bin,Category D,present tube to scanner
103,TUBE-009,SCAN_BARCODE,-92.000,170.000,category_d_bin,Category D,scan and classify sample
104,TUBE-009,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_d_bin,Category D,lift after scan
105,TUBE-009,MOVE_SAFE_ABOVE_TARGET,250.000,-316.000,category_d_bin,Category D,move above selected target
106,TUBE-009,APPROACH_TARGET_SLOT,250.000,-316.000,category_d_bin,Category D,approach target slot
107,TUBE-009,PLACE_TUBE,250.000,-316.000,category_d_bin,Category D,place 75 mm tube
108,TUBE-009,RETREAT_TO_SAFE_Z,250.000,-316.000,category_d_bin,Category D,retreat after place
109,TUBE-010,MOVE_SAFE_ABOVE_INPUT,-146.000,314.000,category_a_bin,Category A,above input slot
110,TUBE-010,APPROACH_INPUT_SLOT,-146.000,314.000,category_a_bin,Category A,approach input slot
111,TUBE-010,PICK_TUBE,-146.000,314.000,category_a_bin,Category A,grip 75 mm tube
112,TUBE-010,LIFT_TO_SAFE_Z,-146.000,314.000,category_a_bin,Category A,lift picked tube
113,TUBE-010,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_a_bin,Category A,move above scan station
114,TUBE-010,APPROACH_SCAN_STATION,-92.000,170.000,category_a_bin,Category A,present tube to scanner
115,TUBE-010,SCAN_BARCODE,-92.000,170.000,category_a_bin,Category A,scan and classify sample
116,TUBE-010,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_a_bin,Category A,lift after scan
117,TUBE-010,MOVE_SAFE_ABOVE_TARGET,118.000,-146.000,category_a_bin,Category A,move above selected target
118,TUBE-010,APPROACH_TARGET_SLOT,118.000,-146.000,category_a_bin,Category A,approach target slot
119,TUBE-010,PLACE_TUBE,118.000,-146.000,category_a_bin,Category A,place 75 mm tube
120,TUBE-010,RETREAT_TO_SAFE_Z,118.000,-146.000,category_a_bin,Category A,retreat after place
121,TUBE-011,MOVE_SAFE_ABOVE_INPUT,-118.000,314.000,category_b_bin,Category B,above input slot
122,TUBE-011,APPROACH_INPUT_SLOT,-118.000,314.000,category_b_bin,Category B,approach input slot
123,TUBE-011,PICK_TUBE,-118.000,314.000,category_b_bin,Category B,grip 100 mm tube
124,TUBE-011,LIFT_TO_SAFE_Z,-118.000,314.000,category_b_bin,Category B,lift picked tube
125,TUBE-011,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_b_bin,Category B,move above scan station
126,TUBE-011,APPROACH_SCAN_STATION,-92.000,170.000,category_b_bin,Category B,present tube to scanner
127,TUBE-011,SCAN_BARCODE,-92.000,170.000,category_b_bin,Category B,scan and classify sample
128,TUBE-011,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_b_bin,Category B,lift after scan
129,TUBE-011,MOVE_SAFE_ABOVE_TARGET,278.000,-146.000,category_b_bin,Category B,move above selected target
130,TUBE-011,APPROACH_TARGET_SLOT,278.000,-146.000,category_b_bin,Category B,approach target slot
131,TUBE-011,PLACE_TUBE,278.000,-146.000,category_b_bin,Category B,place 100 mm tube
132,TUBE-011,RETREAT_TO_SAFE_Z,278.000,-146.000,category_b_bin,Category B,retreat after place
133,TUBE-012,MOVE_SAFE_ABOVE_INPUT,-90.000,314.000,category_c_bin,Category C,above input slot
134,TUBE-012,APPROACH_INPUT_SLOT,-90.000,314.000,category_c_bin,Category C,approach input slot
135,TUBE-012,PICK_TUBE,-90.000,314.000,category_c_bin,Category C,grip 75 mm tube
136,TUBE-012,LIFT_TO_SAFE_Z,-90.000,314.000,category_c_bin,Category C,lift picked tube
137,TUBE-012,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_c_bin,Category C,move above scan station
138,TUBE-012,APPROACH_SCAN_STATION,-92.000,170.000,category_c_bin,Category C,present tube to scanner
139,TUBE-012,SCAN_BARCODE,-92.000,170.000,category_c_bin,Category C,scan and classify sample
140,TUBE-012,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_c_bin,Category C,lift after scan
141,TUBE-012,MOVE_SAFE_ABOVE_TARGET,118.000,-316.000,category_c_bin,Category C,move above selected target
142,TUBE-012,APPROACH_TARGET_SLOT,118.000,-316.000,category_c_bin,Category C,approach target slot
143,TUBE-012,PLACE_TUBE,118.000,-316.000,category_c_bin,Category C,place 75 mm tube
144,TUBE-012,RETREAT_TO_SAFE_Z,118.000,-316.000,category_c_bin,Category C,retreat after place
145,TUBE-013,MOVE_SAFE_ABOVE_INPUT,-230.000,286.000,category_d_bin,Category D,above input slot
146,TUBE-013,APPROACH_INPUT_SLOT,-230.000,286.000,category_d_bin,Category D,approach input slot
147,TUBE-013,PICK_TUBE,-230.000,286.000,category_d_bin,Category D,grip 75 mm tube
148,TUBE-013,LIFT_TO_SAFE_Z,-230.000,286.000,category_d_bin,Category D,lift picked tube
149,TUBE-013,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_d_bin,Category D,move above scan station
150,TUBE-013,APPROACH_SCAN_STATION,-92.000,170.000,category_d_bin,Category D,present tube to scanner
151,TUBE-013,SCAN_BARCODE,-92.000,170.000,category_d_bin,Category D,scan and classify sample
152,TUBE-013,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_d_bin,Category D,lift after scan
153,TUBE-013,MOVE_SAFE_ABOVE_TARGET,278.000,-316.000,category_d_bin,Category D,move above selected target
154,TUBE-013,APPROACH_TARGET_SLOT,278.000,-316.000,category_d_bin,Category D,approach target slot
155,TUBE-013,PLACE_TUBE,278.000,-316.000,category_d_bin,Category D,place 75 mm tube
156,TUBE-013,RETREAT_TO_SAFE_Z,278.000,-316.000,category_d_bin,Category D,retreat after place
157,TUBE-014,MOVE_SAFE_ABOVE_INPUT,-202.000,286.000,category_a_bin,Category A,above input slot
