frame_id,sample_id,state,x_mm,y_mm,target_zone,event_label,notes
261,TUBE-022,MOVE_SAFE_ABOVE_TARGET,250.000,-344.000,category_d_bin,Category D,move above selected target
262,TUBE-022,APPROACH_TARGET_SLOT,250.000,-344.000,category_d_bin,Category D,approach target slot
263,TUBE-022,PLACE_TUBE,250.000,-344.000,category_d_bin,Category D,place 75 mm tube
264,TUBE-022,RETREAT_TO_SAFE_Z,250.000,-344.000,category_d_bin,Category D,retreat after place
265,TUBE-023,MOVE_SAFE_ABOVE_INPUT,-118.000,258.000,category_a_bin,Category A,above input slot
266,TUBE-023,APPROACH_INPUT_SLOT,-118.000,258.000,category_a_bin,Category A,approach input slot
267,TUBE-023,PICK_TUBE,-118.000,258.000,category_a_bin,Category A,grip 75 mm tube
268,TUBE-023,LIFT_TO_SAFE_Z,-118.000,258.000,category_a_bin,Category A,lift picked tube
269,TUBE-023,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_a_bin,Category A,move above scan station
270,TUBE-023,APPROACH_SCAN_STATION,-92.000,170.000,category_a_bin,Category A,present tube to scanner
271,TUBE-023,SCAN_BARCODE,-92.000,170.000,category_a_bin,Category A,scan and classify sample
272,TUBE-023,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_a_bin,Category A,lift after scan
273,TUBE-023,MOVE_SAFE_ABOVE_TARGET,118.000,-174.000,category_a_bin,Category A,move above selected target
274,TUBE-023,APPROACH_TARGET_SLOT,118.000,-174.000,category_a_bin,Category A,approach target slot
275,TUBE-023,PLACE_TUBE,118.000,-174.000,category_a_bin,Category A,place 75 mm tube
276,TUBE-023,RETREAT_TO_SAFE_Z,118.000,-174.000,category_a_bin,Category A,retreat after place
277,TUBE-024,MOVE_SAFE_ABOVE_INPUT,-90.000,258.000,category_b_bin,Category B,above input slot
278,TUBE-024,APPROACH_INPUT_SLOT,-90.000,258.000,category_b_bin,Category B,approach input slot
279,TUBE-024,PICK_TUBE,-90.000,258.000,category_b_bin,Category B,grip 100 mm tube
280,TUBE-024,LIFT_TO_SAFE_Z,-90.000,258.000,category_b_bin,Category B,lift picked tube
281,TUBE-024,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_b_bin,Category B,move above scan station
282,TUBE-024,APPROACH_SCAN_STATION,-92.000,170.000,category_b_bin,Category B,present tube to scanner
283,TUBE-024,SCAN_BARCODE,-92.000,170.000,category_b_bin,Category B,scan and classify sample
284,TUBE-024,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_b_bin,Category B,lift after scan
285,TUBE-024,MOVE_SAFE_ABOVE_TARGET,278.000,-174.000,category_b_bin,Category B,move above selected target
286,TUBE-024,APPROACH_TARGET_SLOT,278.000,-174.000,category_b_bin,Category B,approach target slot
287,TUBE-024,PLACE_TUBE,278.000,-174.000,category_b_bin,Category B,place 100 mm tube
288,TUBE-024,RETREAT_TO_SAFE_Z,278.000,-174.000,category_b_bin,Category B,retreat after place
