run_id,sample_id,input_box_id,input_slot_id,tube_height_mm,category,barcode_status,is_abnormal,target_zone,target_box_id,target_slot_id,num_waypoints,estimated_xy_distance_mm,estimated_z_distance_mm,uses_manual_review,was_queued,queue_wait_event,final_status,notes
baseline_multi_box_run,MBOX-031,input_box_2,B1,75,Category A,success,no,output_A,category_A_output_box,B2,12,568.175,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0031_MBOX-031
baseline_multi_box_run,MBOX-032,input_box_2,B2,100,Category B,success,no,output_B,category_B_output_box,B2,12,740.479,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0032_MBOX-032
baseline_multi_box_run,MBOX-033,input_box_2,B3,75,Category C,success,no,output_C,category_C_output_box,B2,12,503.250,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0033_MBOX-033
baseline_multi_box_run,MBOX-034,input_box_2,B4,75,Category D,success,no,output_D,category_D_output_box,B2,12,682.855,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0034_MBOX-034
baseline_multi_box_run,MBOX-035,input_box_2,B5,100,Category A,success,no,output_A,category_A_output_box,B3,12,495.531,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0035_MBOX-035
baseline_multi_box_run,MBOX-036,input_box_2,B6,75,Category B,success,no,output_B,category_B_output_box,B3,12,673.379,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0036_MBOX-036
baseline_multi_box_run,MBOX-037,input_box_2,C1,75,unknown,invalid,yes,manual_review,manual_review_bin,A3,12,618.533,850.000,yes,no,,placed_manual_review,trajectory_id=baseline_multi_box_run_0037_MBOX-037
baseline_multi_box_run,MBOX-038,input_box_2,C2,100,Category C,success,no,output_C,category_C_output_box,B3,12,544.384,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0038_MBOX-038
baseline_multi_box_run,MBOX-039,input_box_2,C3,75,Category D,success,no,output_D,category_D_output_box,B3,12,722.893,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0039_MBOX-039
baseline_multi_box_run,MBOX-040,input_box_2,C4,75,Category A,success,no,output_A,category_A_output_box,B4,12,531.342,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0040_MBOX-040
baseline_multi_box_run,MBOX-041,input_box_2,C5,100,Category B,success,no,output_B,category_B_output_box,B4,12,707.188,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0041_MBOX-041
baseline_multi_box_run,MBOX-042,input_box_2,C6,75,Category C,success,no,output_C,category_C_output_box,B4,12,470.343,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0042_MBOX-042
baseline_multi_box_run,MBOX-043,input_box_2,D1,75,Category D,success,no,output_D,category_D_output_box,B4,12,796.357,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0043_MBOX-043
baseline_multi_box_run,MBOX-044,input_box_2,D2,100,Category A,success,no,output_A,category_A_output_box,B5,12,601.763,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0044_MBOX-044
baseline_multi_box_run,MBOX-045,input_box_2,D3,75,Category B,success,no,output_B,category_B_output_box,B5,12,776.529,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0045_MBOX-045
