run_id,trajectory_id,sample_id,step_order,state,input_box_id,input_slot_id,target_zone,target_box_id,target_slot_id,x_mm,y_mm,z_mm,gripper_action,scanner_action,category_status,pending_queue_action,operator_event,expected_result,notes
baseline_multi_box_run,baseline_multi_box_run_0002_MBOX-002,MBOX-002,12,RETREAT_TO_SAFE_Z,input_box_1,A2,output_B,category_B_output_box,A1,300.000,212.000,200.000,open,off,available,none,,placed_output,retreat after place
baseline_multi_box_run,baseline_multi_box_run_0003_MBOX-003,MBOX-003,1,MOVE_SAFE_ABOVE_INPUT,input_box_1,A3,output_C,category_C_output_box,A1,-344.000,327.000,200.000,open,off,available,none,,placed_output,move to input safe height
baseline_multi_box_run,baseline_multi_box_run_0003_MBOX-003,MBOX-003,2,APPROACH_INPUT_SLOT,input_box_1,A3,output_C,category_C_output_box,A1,-344.000,327.000,130.000,open,off,available,none,,placed_output,approach input slot
baseline_multi_box_run,baseline_multi_box_run_0003_MBOX-003,MBOX-003,3,PICK_TUBE,input_box_1,A3,output_C,category_C_output_box,A1,-344.000,327.000,55.000,close,off,available,none,,placed_output,pick tube
baseline_multi_box_run,baseline_multi_box_run_0003_MBOX-003,MBOX-003,4,LIFT_TO_SAFE_Z,input_box_1,A3,output_C,category_C_output_box,A1,-344.000,327.000,200.000,hold,off,available,none,,placed_output,lift picked tube
baseline_multi_box_run,baseline_multi_box_run_0003_MBOX-003,MBOX-003,5,MOVE_SAFE_ABOVE_SCAN,input_box_1,A3,output_C,category_C_output_box,A1,-140.000,60.000,200.000,hold,off,available,none,,placed_output,move above scan station
baseline_multi_box_run,baseline_multi_box_run_0003_MBOX-003,MBOX-003,6,APPROACH_SCAN_STATION,input_box_1,A3,output_C,category_C_output_box,A1,-140.000,60.000,75.000,hold,off,available,none,,placed_output,approach scan station
baseline_multi_box_run,baseline_multi_box_run_0003_MBOX-003,MBOX-003,7,SCAN_BARCODE,input_box_1,A3,output_C,category_C_output_box,A1,-140.000,60.000,75.000,hold,scan,available,none,,placed_output,scan and classify
baseline_multi_box_run,baseline_multi_box_run_0003_MBOX-003,MBOX-003,8,LIFT_TO_SAFE_Z_AFTER_SCAN,input_box_1,A3,output_C,category_C_output_box,A1,-140.000,60.000,200.000,hold,off,available,none,,placed_output,lift after scan
baseline_multi_box_run,baseline_multi_box_run_0003_MBOX-003,MBOX-003,9,MOVE_SAFE_ABOVE_TARGET,input_box_1,A3,output_C,category_C_output_box,A1,90.000,2.000,200.000,hold,off,available,none,,placed_output,move above target
baseline_multi_box_run,baseline_multi_box_run_0003_MBOX-003,MBOX-003,10,APPROACH_TARGET_SLOT,input_box_1,A3,output_C,category_C_output_box,A1,90.000,2.000,130.000,hold,off,available,none,,placed_output,approach target slot
