zone,box_id,rack_name,slot_id,x_mm,y_mm,z_insert_mm,z_pick_75mm,z_pick_100mm,within_x_range,within_y_range,within_z_range_75mm,within_z_range_100mm,reachability_status,near_limit,notes
output_D,category_D_output_box,category_D_output_box_4x6,B6,440.000,-26.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_D,category_D_output_box,category_D_output_box_4x6,C1,300.000,-54.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_D,category_D_output_box,category_D_output_box_4x6,C2,328.000,-54.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_D,category_D_output_box,category_D_output_box_4x6,C3,356.000,-54.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_D,category_D_output_box,category_D_output_box_4x6,C4,384.000,-54.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_D,category_D_output_box,category_D_output_box_4x6,C5,412.000,-54.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_D,category_D_output_box,category_D_output_box_4x6,C6,440.000,-54.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_D,category_D_output_box,category_D_output_box_4x6,D1,300.000,-82.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_D,category_D_output_box,category_D_output_box_4x6,D2,328.000,-82.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_D,category_D_output_box,category_D_output_box_4x6,D3,356.000,-82.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_D,category_D_output_box,category_D_output_box_4x6,D4,384.000,-82.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_D,category_D_output_box,category_D_output_box_4x6,D5,412.000,-82.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
output_D,category_D_output_box,category_D_output_box_4x6,D6,440.000,-82.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
manual_review,manual_review_bin,manual_review_bin_2x3,A1,-208.000,-286.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
manual_review,manual_review_bin,manual_review_bin_2x3,A2,-180.000,-286.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
manual_review,manual_review_bin,manual_review_bin_2x3,A3,-152.000,-286.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
manual_review,manual_review_bin,manual_review_bin_2x3,B1,-208.000,-314.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
manual_review,manual_review_bin,manual_review_bin_2x3,B2,-180.000,-314.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
manual_review,manual_review_bin,manual_review_bin_2x3,B3,-152.000,-314.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
scan_station,scan_station,scan_tube_holder,SCAN_01,-140.000,60.000,24.000,75.000,75.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
