zone,box_id,rack_name,slot_id,x_mm,y_mm,z_insert_mm,z_pick_75mm,z_pick_100mm,within_x_range,within_y_range,within_z_range_75mm,within_z_range_100mm,reachability_status,near_limit,notes
input,input_box_2,input_box_2_4x6,C2,-372.000,141.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_2,input_box_2_4x6,C3,-344.000,141.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_2,input_box_2_4x6,C4,-316.000,141.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_2,input_box_2_4x6,C5,-288.000,141.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_2,input_box_2_4x6,C6,-260.000,141.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_2,input_box_2_4x6,D1,-400.000,113.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_2,input_box_2_4x6,D2,-372.000,113.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_2,input_box_2_4x6,D3,-344.000,113.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_2,input_box_2_4x6,D4,-316.000,113.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_2,input_box_2_4x6,D5,-288.000,113.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_2,input_box_2_4x6,D6,-260.000,113.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_3,input_box_3_4x6,A1,-400.000,67.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_3,input_box_3_4x6,A2,-372.000,67.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_3,input_box_3_4x6,A3,-344.000,67.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_3,input_box_3_4x6,A4,-316.000,67.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_3,input_box_3_4x6,A5,-288.000,67.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_3,input_box_3_4x6,A6,-260.000,67.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_3,input_box_3_4x6,B1,-400.000,39.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_3,input_box_3_4x6,B2,-372.000,39.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_3,input_box_3_4x6,B3,-344.000,39.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_3,input_box_3_4x6,B4,-316.000,39.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_3,input_box_3_4x6,B5,-288.000,39.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_3,input_box_3_4x6,B6,-260.000,39.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
input,input_box_3,input_box_3_4x6,C1,-400.000,11.000,25.000,55.000,80.000,yes,yes,yes,yes,reachable,no,within v7.1 planning envelope
