trajectory_id,sample_id,step_order,state,zone,slot_id,x_mm,y_mm,z_mm,gripper_action,scanner_action,expected_result,notes
traj_004,TUBE-004,12,RETREAT_TO_SAFE_Z,category_b_bin,A1,222.000,-146.000,180.000,open,idle,,retreat after place
traj_005,TUBE-005,1,MOVE_SAFE_ABOVE_INPUT,input,A5,-118.000,342.000,180.000,open,idle,,above input slot
traj_005,TUBE-005,2,APPROACH_INPUT_SLOT,input,A5,-118.000,342.000,120.000,open,idle,,approach input slot
traj_005,TUBE-005,3,PICK_TUBE,input,A5,-118.000,342.000,55.000,close,idle,,grip 75 mm tube
traj_005,TUBE-005,4,LIFT_TO_SAFE_Z,input,A5,-118.000,342.000,180.000,hold,idle,,lift picked tube
traj_005,TUBE-005,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_005,TUBE-005,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_005,TUBE-005,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,success / Category D,scan and classify sample
traj_005,TUBE-005,8,LIFT_TO_SAFE_Z_AFTER_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,lift after scan
traj_005,TUBE-005,9,MOVE_SAFE_ABOVE_TARGET,category_d_bin,A1,222.000,-316.000,180.000,hold,idle,,move above selected target
traj_005,TUBE-005,10,APPROACH_TARGET_SLOT,category_d_bin,A1,222.000,-316.000,120.000,hold,idle,,approach target slot
traj_005,TUBE-005,11,PLACE_TUBE,category_d_bin,A1,222.000,-316.000,45.000,open,idle,,place 75 mm tube
traj_005,TUBE-005,12,RETREAT_TO_SAFE_Z,category_d_bin,A1,222.000,-316.000,180.000,open,idle,,retreat after place
traj_006,TUBE-006,1,MOVE_SAFE_ABOVE_INPUT,input,A6,-90.000,342.000,180.000,open,idle,,above input slot
traj_006,TUBE-006,2,APPROACH_INPUT_SLOT,input,A6,-90.000,342.000,120.000,open,idle,,approach input slot
traj_006,TUBE-006,3,PICK_TUBE,input,A6,-90.000,342.000,55.000,close,idle,,grip 75 mm tube
traj_006,TUBE-006,4,LIFT_TO_SAFE_Z,input,A6,-90.000,342.000,180.000,hold,idle,,lift picked tube
traj_006,TUBE-006,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_006,TUBE-006,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_006,TUBE-006,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,success / Category A,scan and classify sample
traj_006,TUBE-006,8,LIFT_TO_SAFE_Z_AFTER_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,lift after scan
traj_006,TUBE-006,9,MOVE_SAFE_ABOVE_TARGET,category_a_bin,A2,90.000,-146.000,180.000,hold,idle,,move above selected target
traj_006,TUBE-006,10,APPROACH_TARGET_SLOT,category_a_bin,A2,90.000,-146.000,120.000,hold,idle,,approach target slot
traj_006,TUBE-006,11,PLACE_TUBE,category_a_bin,A2,90.000,-146.000,45.000,open,idle,,place 75 mm tube
traj_006,TUBE-006,12,RETREAT_TO_SAFE_Z,category_a_bin,A2,90.000,-146.000,180.000,open,idle,,retreat after place
traj_007,TUBE-007,1,MOVE_SAFE_ABOVE_INPUT,input,B1,-230.000,314.000,180.000,open,idle,,above input slot
traj_007,TUBE-007,2,APPROACH_INPUT_SLOT,input,B1,-230.000,314.000,120.000,open,idle,,approach input slot
traj_007,TUBE-007,3,PICK_TUBE,input,B1,-230.000,314.000,80.000,close,idle,,grip 100 mm tube
traj_007,TUBE-007,4,LIFT_TO_SAFE_Z,input,B1,-230.000,314.000,180.000,hold,idle,,lift picked tube
traj_007,TUBE-007,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_007,TUBE-007,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_007,TUBE-007,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,success / Category B,scan and classify sample
traj_007,TUBE-007,8,LIFT_TO_SAFE_Z_AFTER_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,lift after scan
traj_007,TUBE-007,9,MOVE_SAFE_ABOVE_TARGET,category_b_bin,A2,250.000,-146.000,180.000,hold,idle,,move above selected target
traj_007,TUBE-007,10,APPROACH_TARGET_SLOT,category_b_bin,A2,250.000,-146.000,120.000,hold,idle,,approach target slot
