scenario_id,task_id,tube_id,segment_index,motion_type,axis_mode,segment_distance_mm,delta_z_mm,time_model,segment_time_s,time_category,notes
baseline,TASK-7B1-003,TUBE-7B1-003,5,xy_move_at_safe_z,xy_axes,268.701,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.968,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-003,TUBE-7B1-003,6,z_descend,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-003,TUBE-7B1-003,7,scan_wait,dwell,0.0,0.0,scan_wait_time_s,1.0,scan_wait,Concept-level timing assumption.
baseline,TASK-7B1-003,TUBE-7B1-003,8,z_lift,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-003,TUBE-7B1-003,9,xy_move_at_safe_z,xy_axes,180.278,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.715,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-003,TUBE-7B1-003,10,z_descend,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-003,TUBE-7B1-003,11,gripper_action,gripper,0.0,0.0,grip_open_time_s,0.5,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-003,TUBE-7B1-003,12,z_lift,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-004,TUBE-7B1-004,1,xy_move_at_safe_z,xy_axes,220.227,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.829,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-004,TUBE-7B1-004,2,z_descend,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-004,TUBE-7B1-004,3,gripper_action,gripper,0.0,0.0,grip_close_time_s,0.6,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-004,TUBE-7B1-004,4,z_lift,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-004,TUBE-7B1-004,5,xy_move_at_safe_z,xy_axes,236.008,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.874,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-004,TUBE-7B1-004,6,z_descend,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-004,TUBE-7B1-004,7,scan_wait,dwell,0.0,0.0,scan_wait_time_s,1.0,scan_wait,Concept-level timing assumption.
baseline,TASK-7B1-004,TUBE-7B1-004,8,z_lift,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-004,TUBE-7B1-004,9,xy_move_at_safe_z,xy_axes,491.35,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,1.604,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-004,TUBE-7B1-004,10,z_descend,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-004,TUBE-7B1-004,11,gripper_action,gripper,0.0,0.0,grip_open_time_s,0.5,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-004,TUBE-7B1-004,12,z_lift,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-005,TUBE-7B1-005,1,xy_move_at_safe_z,xy_axes,205.244,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.786,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-005,TUBE-7B1-005,2,z_descend,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-005,TUBE-7B1-005,3,gripper_action,gripper,0.0,0.0,grip_close_time_s,0.6,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-005,TUBE-7B1-005,4,z_lift,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-005,TUBE-7B1-005,5,xy_move_at_safe_z,xy_axes,222.092,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.835,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-005,TUBE-7B1-005,6,z_descend,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-005,TUBE-7B1-005,7,scan_wait,dwell,0.0,0.0,scan_wait_time_s,1.0,scan_wait,Concept-level timing assumption.
baseline,TASK-7B1-005,TUBE-7B1-005,8,z_lift,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-005,TUBE-7B1-005,9,xy_move_at_safe_z,xy_axes,330.151,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,1.143,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-005,TUBE-7B1-005,10,z_descend,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-005,TUBE-7B1-005,11,gripper_action,gripper,0.0,0.0,grip_open_time_s,0.5,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-005,TUBE-7B1-005,12,z_lift,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-006,TUBE-7B1-006,1,xy_move_at_safe_z,xy_axes,280.401,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,1.001,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-006,TUBE-7B1-006,2,z_descend,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-006,TUBE-7B1-006,3,gripper_action,gripper,0.0,0.0,grip_close_time_s,0.6,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-006,TUBE-7B1-006,4,z_lift,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-006,TUBE-7B1-006,5,xy_move_at_safe_z,xy_axes,291.247,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,1.032,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-006,TUBE-7B1-006,6,z_descend,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-006,TUBE-7B1-006,7,scan_wait,dwell,0.0,0.0,scan_wait_time_s,1.0,scan_wait,Concept-level timing assumption.
baseline,TASK-7B1-006,TUBE-7B1-006,8,z_lift,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-006,TUBE-7B1-006,9,xy_move_at_safe_z,xy_axes,279.508,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.999,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-006,TUBE-7B1-006,10,z_descend,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-006,TUBE-7B1-006,11,gripper_action,gripper,0.0,0.0,grip_open_time_s,0.5,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-006,TUBE-7B1-006,12,z_lift,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-007,TUBE-7B1-007,1,xy_move_at_safe_z,xy_axes,239.008,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.883,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-007,TUBE-7B1-007,2,z_descend,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-007,TUBE-7B1-007,3,gripper_action,gripper,0.0,0.0,grip_close_time_s,0.6,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-007,TUBE-7B1-007,4,z_lift,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-007,TUBE-7B1-007,5,xy_move_at_safe_z,xy_axes,251.645,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.919,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-007,TUBE-7B1-007,6,z_descend,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-007,TUBE-7B1-007,7,scan_wait,dwell,0.0,0.0,scan_wait_time_s,1.0,scan_wait,Concept-level timing assumption.
