scenario_id,task_id,tube_id,time_s,vx_mm_s,vy_mm_s,vz_mm_s,speed_xy_mm_s,motion_type,notes
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,305.203,0.0,0.0,0.0,0.0,scan_wait,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,305.223,0.0,0.0,0.0,0.0,scan_wait,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,305.243,0.0,0.0,0.0,0.0,scan_wait,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,305.263,0.0,0.0,0.0,0.0,scan_wait,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,305.283,0.0,0.0,0.0,0.0,scan_wait,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,305.303,0.0,0.0,0.0,0.0,scan_wait,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,305.323,0.0,0.0,0.0,0.0,scan_wait,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,305.343,0.0,0.0,0.0,0.0,scan_wait,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,305.363,0.0,0.0,0.0,0.0,scan_wait,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,305.383,0.0,0.0,0.0,0.0,scan_wait,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,305.403,0.0,0.0,0.0,0.0,scan_wait,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,305.423,0.0,0.0,0.0,0.0,scan_wait,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,305.443,0.0,0.0,0.0,0.0,scan_wait,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,305.463,0.0,0.0,0.0,0.0,scan_wait,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,305.483,0.0,0.0,0.0,0.0,scan_wait,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
