scenario_id,timestamp_step,output_box_id,occupied_slots,available_slots,state,event,notes
forced_category_A_full,43,output_box_B,6,18,available,place_output_box,output capacity is capped at 24
forced_category_A_full,45,output_box_C,6,18,available,place_output_box,output capacity is capped at 24
forced_category_A_full,47,output_box_D,6,18,available,place_output_box,output capacity is capped at 24
forced_category_A_full,52,output_box_B,7,17,available,place_output_box,output capacity is capped at 24
forced_category_A_full,54,output_box_C,7,17,available,place_output_box,output capacity is capped at 24
forced_category_A_full,56,output_box_D,7,17,available,place_output_box,output capacity is capped at 24
forced_category_A_full,59,output_box_B,8,16,available,place_output_box,output capacity is capped at 24
forced_category_A_full,61,output_box_C,8,16,available,place_output_box,output capacity is capped at 24
forced_category_A_full,63,output_box_D,8,16,available,place_output_box,output capacity is capped at 24
forced_category_A_full,66,output_box_B,9,15,available,place_output_box,output capacity is capped at 24
forced_category_A_full,68,output_box_C,9,15,available,place_output_box,output capacity is capped at 24
forced_category_A_full,70,output_box_D,9,15,available,place_output_box,output capacity is capped at 24
forced_category_A_full,73,output_box_B,10,14,available,place_output_box,output capacity is capped at 24
forced_category_A_full,75,output_box_C,10,14,available,place_output_box,output capacity is capped at 24
forced_category_A_full,77,output_box_D,10,14,available,place_output_box,output capacity is capped at 24
forced_category_A_full,82,output_box_B,11,13,available,place_output_box,output capacity is capped at 24
forced_category_A_full,84,output_box_C,11,13,available,place_output_box,output capacity is capped at 24
forced_category_A_full,86,output_box_D,11,13,available,place_output_box,output capacity is capped at 24
forced_category_A_full,89,output_box_B,12,12,available,place_output_box,output capacity is capped at 24
forced_category_A_full,91,output_box_C,12,12,available,place_output_box,output capacity is capped at 24
forced_category_A_full,93,output_box_D,12,12,available,place_output_box,output capacity is capped at 24
forced_category_A_full,96,output_box_B,13,11,available,place_output_box,output capacity is capped at 24
forced_category_A_full,98,output_box_C,13,11,available,place_output_box,output capacity is capped at 24
forced_category_A_full,100,output_box_D,13,11,available,place_output_box,output capacity is capped at 24
forced_category_A_full,103,output_box_B,14,10,available,place_output_box,output capacity is capped at 24
forced_category_A_full,107,output_box_C,14,10,available,place_output_box,output capacity is capped at 24
forced_category_A_full,109,output_box_D,14,10,available,place_output_box,output capacity is capped at 24
forced_category_A_full,112,output_box_B,15,9,available,place_output_box,output capacity is capped at 24
forced_category_A_full,114,output_box_C,15,9,available,place_output_box,output capacity is capped at 24
forced_category_A_full,116,output_box_D,15,9,available,place_output_box,output capacity is capped at 24
forced_category_A_full,119,output_box_B,16,8,available,place_output_box,output capacity is capped at 24
forced_category_A_full,121,output_box_C,16,8,available,place_output_box,output capacity is capped at 24
forced_category_A_full,123,output_box_D,16,8,available,place_output_box,output capacity is capped at 24
forced_category_A_full,123,output_box_A,0,24,available,operator_cleared_output_box,output capacity is capped at 24
forced_category_A_full,124,output_box_A,1,23,available,place_output_box,output capacity is capped at 24
forced_category_A_full,125,output_box_A,2,22,available,place_output_box,output capacity is capped at 24
forced_category_A_full,126,output_box_A,3,21,available,place_output_box,output capacity is capped at 24
forced_category_A_full,127,output_box_A,4,20,available,place_output_box,output capacity is capped at 24
forced_category_A_full,128,output_box_A,5,19,available,place_output_box,output capacity is capped at 24
forced_category_A_full,129,output_box_A,6,18,available,place_output_box,output capacity is capped at 24
forced_category_A_full,130,output_box_A,7,17,available,place_output_box,output capacity is capped at 24
forced_category_A_full,131,output_box_A,8,16,available,place_output_box,output capacity is capped at 24
forced_category_A_full,132,output_box_A,9,15,available,place_output_box,output capacity is capped at 24
forced_category_A_full,133,output_box_A,10,14,available,place_output_box,output capacity is capped at 24
forced_category_A_full,134,output_box_A,11,13,available,place_output_box,output capacity is capped at 24
forced_category_A_full,135,output_box_A,12,12,available,place_output_box,output capacity is capped at 24
forced_category_A_full,136,output_box_A,13,11,available,place_output_box,output capacity is capped at 24
forced_category_A_full,137,output_box_A,14,10,available,place_output_box,output capacity is capped at 24
forced_category_A_full,138,output_box_A,15,9,available,place_output_box,output capacity is capped at 24
forced_category_A_full,139,output_box_A,16,8,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,0,output_box_A,0,24,available,scenario_start,output capacity is capped at 24
manual_review_limited_capacity,0,output_box_B,0,24,available,scenario_start,output capacity is capped at 24
manual_review_limited_capacity,0,output_box_C,0,24,available,scenario_start,output capacity is capped at 24
manual_review_limited_capacity,0,output_box_D,0,24,available,scenario_start,output capacity is capped at 24
manual_review_limited_capacity,2,output_box_A,1,23,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,4,output_box_B,1,23,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,6,output_box_C,1,23,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,10,output_box_D,1,23,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,12,output_box_A,2,22,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,14,output_box_B,2,22,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,16,output_box_C,2,22,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,18,output_box_D,2,22,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,20,output_box_A,3,21,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,22,output_box_B,3,21,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,24,output_box_C,3,21,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,28,output_box_D,3,21,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,30,output_box_A,4,20,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,32,output_box_B,4,20,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,34,output_box_C,4,20,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,36,output_box_D,4,20,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,38,output_box_A,5,19,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,40,output_box_B,5,19,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,42,output_box_C,5,19,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,44,output_box_D,5,19,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,46,output_box_A,6,18,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,48,output_box_B,6,18,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,50,output_box_C,6,18,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,52,output_box_D,6,18,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,54,output_box_A,7,17,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,58,output_box_B,7,17,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,60,output_box_C,7,17,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,62,output_box_D,7,17,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,64,output_box_A,8,16,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,66,output_box_B,8,16,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,68,output_box_C,8,16,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,70,output_box_D,8,16,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,72,output_box_A,9,15,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,74,output_box_B,9,15,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,76,output_box_C,9,15,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,78,output_box_D,9,15,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,80,output_box_A,10,14,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,82,output_box_B,10,14,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,84,output_box_C,10,14,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,86,output_box_D,10,14,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,90,output_box_A,11,13,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,92,output_box_B,11,13,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,94,output_box_C,11,13,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,96,output_box_D,11,13,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,98,output_box_A,12,12,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,100,output_box_B,12,12,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,102,output_box_C,12,12,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,104,output_box_D,12,12,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,106,output_box_A,13,11,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,108,output_box_B,13,11,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,110,output_box_C,13,11,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,112,output_box_D,13,11,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,114,output_box_A,14,10,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,116,output_box_B,14,10,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,120,output_box_C,14,10,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,122,output_box_D,14,10,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,124,output_box_A,15,9,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,126,output_box_B,15,9,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,128,output_box_C,15,9,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,130,output_box_D,15,9,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,132,output_box_A,16,8,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,134,output_box_B,16,8,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,136,output_box_C,16,8,available,place_output_box,output capacity is capped at 24
manual_review_limited_capacity,138,output_box_D,16,8,available,place_output_box,output capacity is capped at 24
pick_failure_test,0,output_box_A,0,24,available,scenario_start,output capacity is capped at 24
pick_failure_test,0,output_box_B,0,24,available,scenario_start,output capacity is capped at 24
pick_failure_test,0,output_box_C,0,24,available,scenario_start,output capacity is capped at 24
pick_failure_test,0,output_box_D,0,24,available,scenario_start,output capacity is capped at 24
pick_failure_test,2,output_box_A,1,23,available,place_output_box,output capacity is capped at 24
pick_failure_test,6,output_box_B,1,23,available,place_output_box,output capacity is capped at 24
pick_failure_test,8,output_box_C,1,23,available,place_output_box,output capacity is capped at 24
pick_failure_test,12,output_box_D,1,23,available,place_output_box,output capacity is capped at 24
pick_failure_test,14,output_box_A,2,22,available,place_output_box,output capacity is capped at 24
