scenario_id,task_id,tube_id,parameter_set_id,x_rmse_mm,y_rmse_mm,z_rmse_mm,x_max_abs_error_mm,y_max_abs_error_mm,z_max_abs_error_mm,task_tracking_status,notes
forced_category_A_full,TASK-7B1-036,TUBE-7B1-036,balanced_pid,0.085,0.051,0.048,1.026,0.736,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-036,TUBE-7B1-036,conservative_pid,5.602,2.325,2.58,10.882,6.811,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-037,TUBE-7B1-037,aggressive_pid,0.062,0.02,0.027,0.659,0.286,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-037,TUBE-7B1-037,balanced_pid,0.111,0.028,0.047,1.126,0.371,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-037,TUBE-7B1-037,conservative_pid,6.119,1.981,2.54,11.276,4.896,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,aggressive_pid,0.021,0.003,0.028,0.21,0.044,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,balanced_pid,0.076,0.016,0.05,1.034,0.221,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,conservative_pid,5.071,0.624,2.672,10.795,2.052,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,aggressive_pid,0.044,0.002,0.028,0.62,0.025,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,balanced_pid,0.113,0.007,0.049,1.263,0.084,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,conservative_pid,5.65,0.624,2.625,12.258,2.222,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-040,TUBE-7B1-040,aggressive_pid,0.065,0.017,0.027,0.65,0.247,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-040,TUBE-7B1-040,balanced_pid,0.131,0.048,0.047,1.157,0.687,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-040,TUBE-7B1-040,conservative_pid,5.973,2.196,2.546,11.234,6.427,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-041,TUBE-7B1-041,aggressive_pid,0.06,0.008,0.027,0.638,0.102,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-041,TUBE-7B1-041,balanced_pid,0.115,0.035,0.047,1.258,0.512,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-041,TUBE-7B1-041,conservative_pid,6.237,1.883,2.531,11.642,4.743,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-042,TUBE-7B1-042,aggressive_pid,0.0,0.0,0.028,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-042,TUBE-7B1-042,balanced_pid,0.128,0.008,0.049,1.219,0.081,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-042,TUBE-7B1-042,conservative_pid,5.481,0.349,2.638,11.425,0.925,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-043,TUBE-7B1-043,aggressive_pid,0.026,0.003,0.028,0.372,0.04,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-043,TUBE-7B1-043,balanced_pid,0.029,0.003,0.048,0.413,0.044,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-043,TUBE-7B1-043,conservative_pid,5.972,0.335,2.592,12.108,1.012,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-044,TUBE-7B1-044,aggressive_pid,0.04,0.018,0.026,0.432,0.273,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-044,TUBE-7B1-044,balanced_pid,0.096,0.022,0.046,1.201,0.303,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-044,TUBE-7B1-044,conservative_pid,6.434,2.966,2.463,11.243,6.923,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-045,TUBE-7B1-045,aggressive_pid,0.048,0.012,0.027,0.652,0.131,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-045,TUBE-7B1-045,balanced_pid,0.102,0.047,0.048,1.116,0.657,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-045,TUBE-7B1-045,conservative_pid,5.847,2.239,2.558,10.75,6.087,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-046,TUBE-7B1-046,aggressive_pid,0.042,0.004,0.027,0.611,0.064,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-046,TUBE-7B1-046,balanced_pid,0.089,0.018,0.047,1.019,0.193,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-046,TUBE-7B1-046,conservative_pid,6.311,1.941,2.522,11.648,4.47,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-047,TUBE-7B1-047,aggressive_pid,0.044,0.006,0.028,0.556,0.079,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-047,TUBE-7B1-047,balanced_pid,0.062,0.011,0.049,0.721,0.115,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-047,TUBE-7B1-047,conservative_pid,5.353,0.831,2.645,11.278,2.667,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-048,TUBE-7B1-048,aggressive_pid,0.03,0.008,0.028,0.336,0.117,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-048,TUBE-7B1-048,balanced_pid,0.125,0.024,0.048,1.354,0.324,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-048,TUBE-7B1-048,conservative_pid,5.886,0.858,2.599,12.533,3.037,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-049,TUBE-7B1-049,aggressive_pid,0.0,0.0,0.027,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-049,TUBE-7B1-049,balanced_pid,0.109,0.046,0.047,1.172,0.593,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-049,TUBE-7B1-049,conservative_pid,6.13,2.337,2.525,10.989,5.77,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-050,TUBE-7B1-050,aggressive_pid,0.041,0.015,0.027,0.603,0.219,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-050,TUBE-7B1-050,balanced_pid,0.071,0.025,0.047,0.764,0.261,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-050,TUBE-7B1-050,conservative_pid,6.378,2.143,2.508,11.741,4.258,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-051,TUBE-7B1-051,aggressive_pid,0.038,0.014,0.028,0.49,0.193,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-051,TUBE-7B1-051,balanced_pid,0.131,0.035,0.048,1.138,0.394,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-051,TUBE-7B1-051,conservative_pid,5.668,1.333,2.605,11.836,3.817,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-052,TUBE-7B1-052,aggressive_pid,0.023,0.006,0.027,0.273,0.091,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-052,TUBE-7B1-052,balanced_pid,0.024,0.007,0.048,0.286,0.095,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-052,TUBE-7B1-052,conservative_pid,6.142,1.366,2.558,12.221,4.088,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-053,TUBE-7B1-053,aggressive_pid,0.021,0.006,0.03,0.277,0.079,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-053,TUBE-7B1-053,balanced_pid,0.076,0.057,0.052,0.845,0.657,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-053,TUBE-7B1-053,conservative_pid,3.176,2.397,2.779,8.789,6.836,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-054,TUBE-7B1-054,aggressive_pid,0.048,0.02,0.029,0.647,0.275,0.214,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-054,TUBE-7B1-054,balanced_pid,0.063,0.043,0.051,0.838,0.46,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-054,TUBE-7B1-054,conservative_pid,4.399,2.044,2.73,11.072,4.697,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-055,TUBE-7B1-055,aggressive_pid,0.043,0.016,0.03,0.52,0.183,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-055,TUBE-7B1-055,balanced_pid,0.083,0.024,0.052,1.059,0.235,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-055,TUBE-7B1-055,conservative_pid,3.484,1.071,2.799,10.279,3.569,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-056,TUBE-7B1-056,aggressive_pid,0.035,0.014,0.029,0.401,0.185,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-056,TUBE-7B1-056,balanced_pid,0.115,0.024,0.05,1.276,0.267,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-056,TUBE-7B1-056,conservative_pid,4.92,0.896,2.693,11.957,3.055,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-057,TUBE-7B1-057,aggressive_pid,0.015,0.01,0.029,0.203,0.139,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-057,TUBE-7B1-057,balanced_pid,0.09,0.052,0.051,1.015,0.693,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-057,TUBE-7B1-057,conservative_pid,3.752,2.197,2.748,9.393,6.415,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-058,TUBE-7B1-058,aggressive_pid,0.0,0.0,0.029,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-058,TUBE-7B1-058,balanced_pid,0.092,0.04,0.051,1.223,0.482,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-058,TUBE-7B1-058,conservative_pid,4.597,1.861,2.725,11.466,4.522,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-059,TUBE-7B1-059,aggressive_pid,0.039,0.027,0.028,0.524,0.372,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-059,TUBE-7B1-059,balanced_pid,0.048,0.032,0.05,0.624,0.442,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-059,TUBE-7B1-059,conservative_pid,4.547,3.225,2.665,10.193,7.226,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-060,TUBE-7B1-060,aggressive_pid,0.015,0.006,0.03,0.198,0.074,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-060,TUBE-7B1-060,balanced_pid,0.034,0.008,0.052,0.318,0.083,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-060,TUBE-7B1-060,conservative_pid,3.718,0.784,2.791,10.507,2.05,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-061,TUBE-7B1-061,aggressive_pid,0.034,0.018,0.029,0.355,0.236,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-061,TUBE-7B1-061,balanced_pid,0.048,0.029,0.05,0.591,0.394,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-061,TUBE-7B1-061,conservative_pid,5.022,1.137,2.679,11.722,4.078,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-062,TUBE-7B1-062,aggressive_pid,0.016,0.01,0.029,0.214,0.13,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-062,TUBE-7B1-062,balanced_pid,0.087,0.06,0.051,1.068,0.65,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-062,TUBE-7B1-062,conservative_pid,3.668,2.374,2.752,9.886,6.017,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-063,TUBE-7B1-063,aggressive_pid,0.007,0.013,0.029,0.091,0.182,0.214,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-063,TUBE-7B1-063,balanced_pid,0.021,0.019,0.05,0.265,0.236,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-063,TUBE-7B1-063,conservative_pid,4.727,2.076,2.697,11.439,5.099,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-064,TUBE-7B1-064,aggressive_pid,0.046,0.017,0.029,0.557,0.177,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-064,TUBE-7B1-064,balanced_pid,0.095,0.029,0.051,1.135,0.271,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-064,TUBE-7B1-064,conservative_pid,3.929,1.277,2.764,11.014,4.483,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-065,TUBE-7B1-065,aggressive_pid,0.0,0.0,0.028,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-065,TUBE-7B1-065,balanced_pid,0.092,0.014,0.05,1.176,0.158,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-065,TUBE-7B1-065,conservative_pid,5.201,1.098,2.669,12.235,3.884,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-066,TUBE-7B1-066,aggressive_pid,0.0,0.0,0.029,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-066,TUBE-7B1-066,balanced_pid,0.091,0.062,0.05,1.058,0.581,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-066,TUBE-7B1-066,conservative_pid,4.084,2.629,2.704,10.301,5.956,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-067,TUBE-7B1-067,aggressive_pid,0.049,0.026,0.028,0.683,0.268,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-067,TUBE-7B1-067,balanced_pid,0.065,0.07,0.049,0.885,0.744,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-067,TUBE-7B1-067,conservative_pid,4.869,2.49,2.658,11.68,6.966,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-068,TUBE-7B1-068,aggressive_pid,0.0,0.0,0.029,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-068,TUBE-7B1-068,balanced_pid,0.023,0.056,0.051,0.257,0.711,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-068,TUBE-7B1-068,conservative_pid,3.897,1.977,2.748,11.117,6.921,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-069,TUBE-7B1-069,aggressive_pid,0.045,0.004,0.028,0.624,0.062,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-069,TUBE-7B1-069,balanced_pid,0.062,0.035,0.049,0.742,0.484,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
forced_category_A_full,TASK-7B1-069,TUBE-7B1-069,conservative_pid,5.123,1.811,2.658,12.138,6.312,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-001,TUBE-7B1-001,aggressive_pid,0.021,0.022,0.027,0.304,0.321,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-001,TUBE-7B1-001,balanced_pid,0.069,0.068,0.047,0.844,0.891,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-001,TUBE-7B1-001,conservative_pid,5.091,4.247,2.516,9.231,8.337,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-002,TUBE-7B1-002,aggressive_pid,0.041,0.029,0.026,0.459,0.363,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-002,TUBE-7B1-002,balanced_pid,0.085,0.053,0.046,1.139,0.656,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-002,TUBE-7B1-002,conservative_pid,5.601,4.052,2.482,10.658,7.451,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-003,TUBE-7B1-003,aggressive_pid,0.032,0.03,0.028,0.328,0.314,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-003,TUBE-7B1-003,balanced_pid,0.098,0.083,0.048,0.91,0.872,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-003,TUBE-7B1-003,conservative_pid,4.82,3.631,2.583,10.384,8.165,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-004,TUBE-7B1-004,aggressive_pid,0.043,0.028,0.026,0.628,0.382,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-004,TUBE-7B1-004,balanced_pid,0.082,0.083,0.046,0.814,0.923,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-004,TUBE-7B1-004,conservative_pid,5.266,4.544,2.48,10.753,9.0,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-005,TUBE-7B1-005,aggressive_pid,0.048,0.036,0.027,0.606,0.519,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-005,TUBE-7B1-005,balanced_pid,0.068,0.072,0.048,0.722,0.865,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-005,TUBE-7B1-005,conservative_pid,4.917,3.874,2.558,11.794,9.386,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-006,TUBE-7B1-006,aggressive_pid,0.015,0.009,0.027,0.216,0.131,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-006,TUBE-7B1-006,balanced_pid,0.065,0.045,0.047,0.93,0.64,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-006,TUBE-7B1-006,conservative_pid,5.323,3.897,2.519,9.675,7.668,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-007,TUBE-7B1-007,aggressive_pid,0.031,0.023,0.027,0.452,0.345,0.214,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-007,TUBE-7B1-007,balanced_pid,0.087,0.051,0.047,1.169,0.625,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-007,TUBE-7B1-007,conservative_pid,5.59,3.795,2.502,10.957,7.238,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-008,TUBE-7B1-008,aggressive_pid,0.057,0.034,0.028,0.626,0.4,0.214,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-008,TUBE-7B1-008,balanced_pid,0.112,0.079,0.048,1.043,0.814,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-008,TUBE-7B1-008,conservative_pid,4.792,3.331,2.602,10.798,7.901,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-009,TUBE-7B1-009,aggressive_pid,0.0,0.0,0.027,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-009,TUBE-7B1-009,balanced_pid,0.055,0.023,0.047,0.73,0.332,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-009,TUBE-7B1-009,conservative_pid,5.343,3.345,2.555,12.053,8.189,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-010,TUBE-7B1-010,aggressive_pid,0.035,0.018,0.027,0.521,0.261,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-010,TUBE-7B1-010,balanced_pid,0.107,0.068,0.047,1.061,0.722,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-010,TUBE-7B1-010,conservative_pid,5.54,3.55,2.522,10.304,7.513,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-011,TUBE-7B1-011,aggressive_pid,0.034,0.019,0.027,0.5,0.279,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-011,TUBE-7B1-011,balanced_pid,0.089,0.051,0.046,0.836,0.542,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-011,TUBE-7B1-011,conservative_pid,6.013,3.336,2.488,11.126,6.23,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-012,TUBE-7B1-012,aggressive_pid,0.025,0.016,0.028,0.361,0.228,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-012,TUBE-7B1-012,balanced_pid,0.055,0.039,0.048,0.676,0.498,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-012,TUBE-7B1-012,conservative_pid,5.285,2.762,2.589,10.883,6.632,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-013,TUBE-7B1-013,aggressive_pid,0.055,0.045,0.027,0.538,0.439,0.214,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-013,TUBE-7B1-013,balanced_pid,0.087,0.075,0.047,0.824,0.731,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-013,TUBE-7B1-013,conservative_pid,5.306,4.002,2.516,10.457,7.567,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-014,TUBE-7B1-014,aggressive_pid,0.049,0.001,0.027,0.709,0.019,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-014,TUBE-7B1-014,balanced_pid,0.087,0.031,0.048,1.182,0.444,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-014,TUBE-7B1-014,conservative_pid,5.352,3.019,2.574,12.233,7.916,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-015,TUBE-7B1-015,aggressive_pid,0.014,0.011,0.027,0.207,0.154,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-015,TUBE-7B1-015,balanced_pid,0.072,0.053,0.047,1.034,0.771,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-015,TUBE-7B1-015,conservative_pid,5.726,3.198,2.525,10.463,7.136,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-016,TUBE-7B1-016,aggressive_pid,0.033,0.017,0.027,0.494,0.247,0.214,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-016,TUBE-7B1-016,balanced_pid,0.078,0.041,0.047,1.007,0.504,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-016,TUBE-7B1-016,conservative_pid,5.99,3.045,2.508,11.125,5.681,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-017,TUBE-7B1-017,aggressive_pid,0.041,0.022,0.028,0.532,0.307,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-017,TUBE-7B1-017,balanced_pid,0.106,0.038,0.048,1.235,0.397,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
