scenario_id,task_id,tube_id,parameter_set_id,x_rmse_mm,y_rmse_mm,z_rmse_mm,x_max_abs_error_mm,y_max_abs_error_mm,z_max_abs_error_mm,task_tracking_status,notes
baseline,TASK-7B1-011,TUBE-7B1-011,balanced_pid,0.089,0.051,0.046,0.836,0.542,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-011,TUBE-7B1-011,conservative_pid,6.013,3.336,2.488,11.126,6.23,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-012,TUBE-7B1-012,aggressive_pid,0.025,0.016,0.028,0.361,0.228,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-012,TUBE-7B1-012,balanced_pid,0.055,0.039,0.048,0.676,0.498,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-012,TUBE-7B1-012,conservative_pid,5.285,2.762,2.589,10.883,6.632,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-013,TUBE-7B1-013,aggressive_pid,0.055,0.045,0.027,0.538,0.439,0.214,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-013,TUBE-7B1-013,balanced_pid,0.087,0.075,0.047,0.824,0.731,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-013,TUBE-7B1-013,conservative_pid,5.306,4.002,2.516,10.457,7.567,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-014,TUBE-7B1-014,aggressive_pid,0.049,0.001,0.027,0.709,0.019,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-014,TUBE-7B1-014,balanced_pid,0.087,0.031,0.048,1.182,0.444,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-014,TUBE-7B1-014,conservative_pid,5.352,3.019,2.574,12.233,7.916,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-015,TUBE-7B1-015,aggressive_pid,0.014,0.011,0.027,0.207,0.154,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-015,TUBE-7B1-015,balanced_pid,0.072,0.053,0.047,1.034,0.771,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-015,TUBE-7B1-015,conservative_pid,5.726,3.198,2.525,10.463,7.136,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-016,TUBE-7B1-016,aggressive_pid,0.033,0.017,0.027,0.494,0.247,0.214,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-016,TUBE-7B1-016,balanced_pid,0.078,0.041,0.047,1.007,0.504,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-016,TUBE-7B1-016,conservative_pid,5.99,3.045,2.508,11.125,5.681,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-017,TUBE-7B1-017,aggressive_pid,0.041,0.022,0.028,0.532,0.307,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-017,TUBE-7B1-017,balanced_pid,0.106,0.038,0.048,1.235,0.397,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-017,TUBE-7B1-017,conservative_pid,5.262,2.388,2.608,11.432,6.121,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-018,TUBE-7B1-018,aggressive_pid,0.03,0.02,0.027,0.431,0.292,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-018,TUBE-7B1-018,balanced_pid,0.04,0.024,0.048,0.513,0.348,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-018,TUBE-7B1-018,conservative_pid,5.764,2.432,2.561,12.192,6.503,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-019,TUBE-7B1-019,aggressive_pid,0.035,0.028,0.027,0.504,0.342,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-019,TUBE-7B1-019,balanced_pid,0.077,0.1,0.048,1.027,1.112,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-019,TUBE-7B1-019,conservative_pid,3.839,4.744,2.577,9.961,10.291,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-020,TUBE-7B1-020,aggressive_pid,0.04,0.018,0.027,0.585,0.258,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-020,TUBE-7B1-020,balanced_pid,0.05,0.078,0.047,0.697,1.011,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-020,TUBE-7B1-020,conservative_pid,4.773,4.535,2.525,11.384,10.511,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-021,TUBE-7B1-021,aggressive_pid,0.018,0.057,0.028,0.252,0.613,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-021,TUBE-7B1-021,balanced_pid,0.019,0.093,0.048,0.264,1.058,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-021,TUBE-7B1-021,conservative_pid,3.934,4.214,2.608,11.278,10.488,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-022,TUBE-7B1-022,aggressive_pid,0.019,0.0,0.027,0.271,0.006,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-022,TUBE-7B1-022,balanced_pid,0.093,0.043,0.047,1.354,0.629,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-022,TUBE-7B1-022,conservative_pid,5.001,4.039,2.543,12.533,10.381,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-023,TUBE-7B1-023,aggressive_pid,0.036,0.023,0.027,0.522,0.325,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-023,TUBE-7B1-023,balanced_pid,0.076,0.07,0.048,1.063,0.764,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-023,TUBE-7B1-023,conservative_pid,4.07,4.668,2.567,10.32,10.163,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-024,TUBE-7B1-024,aggressive_pid,0.017,0.007,0.027,0.254,0.106,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-024,TUBE-7B1-024,balanced_pid,0.087,0.087,0.047,1.272,0.982,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-024,TUBE-7B1-024,conservative_pid,4.908,4.228,2.54,11.778,10.214,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-025,TUBE-7B1-025,aggressive_pid,0.0,0.0,0.028,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
