scenario_id,task_id,tube_id,trial_id,x_rmse_mm,y_rmse_mm,z_rmse_mm,x_max_abs_error_mm,y_max_abs_error_mm,z_max_abs_error_mm,worst_axis,task_status,notes
forced_category_A_full,TASK-7B1-006,TUBE-7B1-006,1,0.257,0.182,0.322,2.545,1.531,0.61,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-006,TUBE-7B1-006,2,0.258,0.187,0.322,2.486,1.62,0.622,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-006,TUBE-7B1-006,3,0.259,0.185,0.323,2.58,1.566,0.61,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-006,TUBE-7B1-006,4,0.255,0.184,0.321,2.497,1.532,0.652,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-006,TUBE-7B1-006,5,0.256,0.186,0.322,2.571,1.465,0.611,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-007,TUBE-7B1-007,1,0.244,0.171,0.317,1.217,0.839,0.641,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-007,TUBE-7B1-007,2,0.238,0.168,0.322,1.05,0.766,0.639,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-007,TUBE-7B1-007,3,0.239,0.169,0.318,1.031,0.871,0.624,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-007,TUBE-7B1-007,4,0.241,0.167,0.322,1.094,0.844,0.61,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-007,TUBE-7B1-007,5,0.241,0.169,0.32,1.066,0.837,0.626,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-008,TUBE-7B1-008,1,0.213,0.15,0.334,0.895,0.654,0.618,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-008,TUBE-7B1-008,2,0.215,0.155,0.334,0.986,0.645,0.616,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-008,TUBE-7B1-008,3,0.217,0.151,0.331,1.041,0.654,0.608,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-008,TUBE-7B1-008,4,0.214,0.157,0.334,1.009,0.661,0.615,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-008,TUBE-7B1-008,5,0.211,0.149,0.33,0.967,0.595,0.623,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-009,TUBE-7B1-009,1,0.223,0.151,0.325,0.81,0.605,0.627,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-009,TUBE-7B1-009,2,0.219,0.152,0.324,0.935,0.596,0.617,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-009,TUBE-7B1-009,3,0.221,0.147,0.328,0.832,0.577,0.617,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-009,TUBE-7B1-009,4,0.226,0.146,0.325,0.897,0.587,0.623,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-009,TUBE-7B1-009,5,0.221,0.15,0.326,0.799,0.615,0.612,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-010,TUBE-7B1-010,1,0.239,0.155,0.32,0.963,0.571,0.612,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-010,TUBE-7B1-010,2,0.238,0.154,0.323,0.855,0.485,0.639,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-010,TUBE-7B1-010,3,0.237,0.154,0.326,0.945,0.549,0.629,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-010,TUBE-7B1-010,4,0.235,0.156,0.322,0.904,0.549,0.629,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-010,TUBE-7B1-010,5,0.234,0.155,0.321,0.897,0.455,0.617,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-011,TUBE-7B1-011,1,0.261,0.147,0.319,1.332,0.634,0.606,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-011,TUBE-7B1-011,2,0.257,0.149,0.318,1.218,0.725,0.627,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-011,TUBE-7B1-011,3,0.256,0.151,0.318,1.289,0.726,0.618,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-011,TUBE-7B1-011,4,0.255,0.15,0.318,1.24,0.626,0.641,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-011,TUBE-7B1-011,5,0.255,0.15,0.319,1.181,0.652,0.644,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-012,TUBE-7B1-012,1,0.231,0.131,0.33,1.385,0.949,0.627,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-012,TUBE-7B1-012,2,0.237,0.136,0.329,1.388,0.924,0.611,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-012,TUBE-7B1-012,3,0.237,0.136,0.333,1.375,0.96,0.621,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-012,TUBE-7B1-012,4,0.239,0.136,0.332,1.554,0.904,0.629,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-012,TUBE-7B1-012,5,0.236,0.135,0.332,1.483,0.957,0.64,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-013,TUBE-7B1-013,1,0.233,0.183,0.32,1.342,0.857,0.61,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-013,TUBE-7B1-013,2,0.239,0.183,0.323,1.375,0.886,0.641,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-013,TUBE-7B1-013,3,0.239,0.182,0.321,1.404,0.899,0.619,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-013,TUBE-7B1-013,4,0.241,0.18,0.319,1.338,0.842,0.616,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-013,TUBE-7B1-013,5,0.236,0.179,0.323,1.369,0.883,0.624,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-014,TUBE-7B1-014,1,0.229,0.139,0.328,1.137,0.68,0.624,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-014,TUBE-7B1-014,2,0.226,0.133,0.335,1.077,0.516,0.621,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-014,TUBE-7B1-014,3,0.225,0.135,0.329,1.133,0.568,0.61,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-014,TUBE-7B1-014,4,0.228,0.14,0.328,1.118,0.666,0.61,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-014,TUBE-7B1-014,5,0.227,0.134,0.331,1.134,0.603,0.64,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-015,TUBE-7B1-015,1,0.241,0.142,0.322,0.857,0.604,0.597,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-015,TUBE-7B1-015,2,0.238,0.138,0.322,0.884,0.521,0.61,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-015,TUBE-7B1-015,3,0.236,0.141,0.323,0.817,0.525,0.63,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-015,TUBE-7B1-015,4,0.237,0.138,0.323,0.824,0.51,0.61,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-015,TUBE-7B1-015,5,0.239,0.139,0.321,0.911,0.555,0.626,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-016,TUBE-7B1-016,1,0.244,0.136,0.321,0.883,0.445,0.635,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-016,TUBE-7B1-016,2,0.249,0.138,0.319,0.74,0.371,0.599,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-016,TUBE-7B1-016,3,0.251,0.139,0.321,0.89,0.479,0.636,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-016,TUBE-7B1-016,4,0.243,0.136,0.32,0.876,0.464,0.612,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-016,TUBE-7B1-016,5,0.252,0.138,0.32,0.863,0.469,0.621,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-017,TUBE-7B1-017,1,0.232,0.115,0.334,0.971,0.582,0.611,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-017,TUBE-7B1-017,2,0.23,0.115,0.335,0.991,0.542,0.615,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-017,TUBE-7B1-017,3,0.234,0.117,0.334,0.958,0.516,0.611,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-017,TUBE-7B1-017,4,0.233,0.115,0.333,0.988,0.514,0.611,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-017,TUBE-7B1-017,5,0.229,0.119,0.333,0.95,0.578,0.62,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-018,TUBE-7B1-018,1,0.241,0.121,0.328,1.069,0.669,0.613,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-018,TUBE-7B1-018,2,0.242,0.121,0.328,1.039,0.771,0.617,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-018,TUBE-7B1-018,3,0.24,0.121,0.325,0.989,0.769,0.613,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-018,TUBE-7B1-018,4,0.247,0.122,0.329,1.047,0.782,0.644,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-018,TUBE-7B1-018,5,0.239,0.119,0.327,0.98,0.651,0.612,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-019,TUBE-7B1-019,1,0.165,0.212,0.328,0.804,0.856,0.611,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-019,TUBE-7B1-019,2,0.17,0.205,0.331,0.718,0.722,0.606,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-019,TUBE-7B1-019,3,0.17,0.206,0.33,0.962,0.726,0.623,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-019,TUBE-7B1-019,4,0.167,0.208,0.33,0.852,0.875,0.608,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-019,TUBE-7B1-019,5,0.17,0.211,0.328,0.88,0.872,0.618,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-020,TUBE-7B1-020,1,0.211,0.196,0.324,1.495,0.795,0.618,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-020,TUBE-7B1-020,2,0.209,0.201,0.322,1.388,0.828,0.623,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-020,TUBE-7B1-020,3,0.21,0.199,0.324,1.455,0.865,0.614,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-020,TUBE-7B1-020,4,0.211,0.198,0.323,1.451,0.792,0.603,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-020,TUBE-7B1-020,5,0.209,0.199,0.322,1.486,0.81,0.632,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-021,TUBE-7B1-021,1,0.231,0.198,0.332,2.919,1.104,0.63,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-021,TUBE-7B1-021,2,0.226,0.201,0.332,2.959,1.167,0.634,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-021,TUBE-7B1-021,3,0.229,0.197,0.332,2.93,1.073,0.627,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-021,TUBE-7B1-021,4,0.228,0.204,0.333,2.96,1.032,0.613,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-021,TUBE-7B1-021,5,0.233,0.197,0.334,2.977,1.164,0.61,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-022,TUBE-7B1-022,1,0.208,0.174,0.324,1.073,0.745,0.615,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-022,TUBE-7B1-022,2,0.21,0.184,0.325,0.99,0.899,0.615,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-022,TUBE-7B1-022,3,0.211,0.179,0.327,0.973,0.808,0.612,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-022,TUBE-7B1-022,4,0.207,0.177,0.326,0.909,0.798,0.619,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-022,TUBE-7B1-022,5,0.208,0.177,0.325,0.934,0.797,0.613,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-023,TUBE-7B1-023,1,0.175,0.199,0.33,0.874,0.733,0.634,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-023,TUBE-7B1-023,2,0.175,0.2,0.325,0.887,0.843,0.602,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-023,TUBE-7B1-023,3,0.179,0.199,0.328,0.785,0.834,0.615,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-023,TUBE-7B1-023,4,0.179,0.2,0.328,0.817,0.739,0.625,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-023,TUBE-7B1-023,5,0.18,0.202,0.329,0.856,0.778,0.604,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-024,TUBE-7B1-024,1,0.202,0.184,0.324,1.008,0.745,0.633,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-024,TUBE-7B1-024,2,0.198,0.184,0.325,0.914,0.773,0.62,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-024,TUBE-7B1-024,3,0.204,0.193,0.324,0.955,0.732,0.615,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-024,TUBE-7B1-024,4,0.201,0.186,0.323,0.932,0.749,0.606,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-024,TUBE-7B1-024,5,0.203,0.182,0.326,0.889,0.84,0.638,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-025,TUBE-7B1-025,1,0.178,0.172,0.336,0.865,0.843,0.618,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-025,TUBE-7B1-025,2,0.181,0.171,0.339,0.843,0.751,0.608,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-025,TUBE-7B1-025,3,0.178,0.173,0.336,0.805,0.738,0.623,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-025,TUBE-7B1-025,4,0.178,0.169,0.335,0.861,0.781,0.633,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-025,TUBE-7B1-025,5,0.181,0.172,0.335,0.846,0.786,0.617,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-026,TUBE-7B1-026,1,0.209,0.172,0.328,0.814,0.947,0.62,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-026,TUBE-7B1-026,2,0.206,0.174,0.326,0.794,1.019,0.637,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-026,TUBE-7B1-026,3,0.209,0.17,0.325,0.802,0.813,0.615,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-026,TUBE-7B1-026,4,0.214,0.177,0.325,0.801,0.916,0.609,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-026,TUBE-7B1-026,5,0.208,0.177,0.325,0.752,0.935,0.628,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-027,TUBE-7B1-027,1,0.138,0.191,0.342,0.567,1.114,0.667,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-027,TUBE-7B1-027,2,0.141,0.192,0.341,0.565,1.139,0.634,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-027,TUBE-7B1-027,3,0.137,0.191,0.339,0.611,1.108,0.609,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-027,TUBE-7B1-027,4,0.136,0.19,0.338,0.543,1.067,0.606,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-027,TUBE-7B1-027,5,0.139,0.191,0.34,0.585,1.077,0.641,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-028,TUBE-7B1-028,1,0.186,0.191,0.331,1.079,0.864,0.636,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-028,TUBE-7B1-028,2,0.186,0.197,0.332,1.163,0.813,0.649,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-028,TUBE-7B1-028,3,0.188,0.193,0.329,1.107,0.75,0.606,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-028,TUBE-7B1-028,4,0.194,0.196,0.328,1.09,0.827,0.652,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-028,TUBE-7B1-028,5,0.189,0.193,0.328,1.137,0.757,0.614,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-029,TUBE-7B1-029,1,0.175,0.222,0.335,0.681,2.443,0.614,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-029,TUBE-7B1-029,2,0.174,0.226,0.335,0.799,2.454,0.624,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-029,TUBE-7B1-029,3,0.176,0.227,0.331,0.695,2.553,0.62,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-029,TUBE-7B1-029,4,0.173,0.228,0.333,0.821,2.568,0.609,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-029,TUBE-7B1-029,5,0.167,0.221,0.334,0.701,2.357,0.615,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-030,TUBE-7B1-030,1,0.151,0.199,0.348,0.734,2.235,0.616,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-030,TUBE-7B1-030,2,0.154,0.199,0.346,0.776,2.281,0.628,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-030,TUBE-7B1-030,3,0.146,0.199,0.346,0.734,2.243,0.615,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-030,TUBE-7B1-030,4,0.15,0.199,0.347,0.746,2.22,0.621,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-030,TUBE-7B1-030,5,0.153,0.197,0.346,0.777,2.312,0.619,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-031,TUBE-7B1-031,1,0.218,0.195,0.334,1.382,2.295,0.618,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-031,TUBE-7B1-031,2,0.214,0.197,0.332,1.385,2.34,0.603,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-031,TUBE-7B1-031,3,0.217,0.197,0.336,1.265,2.282,0.645,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-031,TUBE-7B1-031,4,0.219,0.196,0.334,1.374,2.422,0.626,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-031,TUBE-7B1-031,5,0.212,0.194,0.336,1.423,2.327,0.624,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-032,TUBE-7B1-032,1,0.164,0.199,0.342,1.229,1.909,0.612,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-032,TUBE-7B1-032,2,0.168,0.198,0.342,1.211,1.915,0.629,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-032,TUBE-7B1-032,3,0.163,0.196,0.344,1.188,1.915,0.608,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-032,TUBE-7B1-032,4,0.164,0.195,0.342,1.191,1.949,0.61,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-032,TUBE-7B1-032,5,0.163,0.196,0.342,1.216,1.901,0.622,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-033,TUBE-7B1-033,1,0.179,0.165,0.336,0.726,0.759,0.632,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-033,TUBE-7B1-033,2,0.182,0.164,0.332,0.769,0.642,0.602,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-033,TUBE-7B1-033,3,0.183,0.16,0.337,0.656,0.722,0.602,y,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-033,TUBE-7B1-033,4,0.179,0.163,0.335,0.707,0.679,0.608,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-033,TUBE-7B1-033,5,0.181,0.161,0.336,0.676,0.597,0.619,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-034,TUBE-7B1-034,1,0.154,0.136,0.345,0.903,0.646,0.606,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-034,TUBE-7B1-034,2,0.153,0.146,0.349,0.849,0.675,0.612,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-034,TUBE-7B1-034,3,0.156,0.149,0.351,0.928,0.688,0.638,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-034,TUBE-7B1-034,4,0.153,0.146,0.347,0.945,0.663,0.623,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-034,TUBE-7B1-034,5,0.157,0.15,0.344,0.902,0.671,0.621,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-035,TUBE-7B1-035,1,0.275,0.058,0.32,0.976,0.201,0.622,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-035,TUBE-7B1-035,2,0.275,0.058,0.321,0.987,0.179,0.639,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-035,TUBE-7B1-035,3,0.273,0.053,0.323,1.019,0.168,0.603,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-035,TUBE-7B1-035,4,0.274,0.06,0.323,0.964,0.282,0.635,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-035,TUBE-7B1-035,5,0.279,0.055,0.323,1.052,0.185,0.606,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-036,TUBE-7B1-036,1,0.236,0.107,0.328,0.756,0.514,0.627,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-036,TUBE-7B1-036,2,0.24,0.113,0.328,0.867,0.442,0.613,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-036,TUBE-7B1-036,3,0.237,0.106,0.329,0.845,0.477,0.607,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-036,TUBE-7B1-036,4,0.237,0.111,0.329,0.865,0.475,0.611,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-036,TUBE-7B1-036,5,0.236,0.114,0.333,0.832,0.552,0.621,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-037,TUBE-7B1-037,1,0.272,0.093,0.326,1.204,0.456,0.625,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-037,TUBE-7B1-037,2,0.268,0.101,0.324,1.207,0.502,0.616,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-037,TUBE-7B1-037,3,0.267,0.098,0.321,1.189,0.633,0.626,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-037,TUBE-7B1-037,4,0.271,0.094,0.324,1.229,0.497,0.607,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-037,TUBE-7B1-037,5,0.267,0.097,0.326,1.212,0.578,0.605,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,1,0.256,0.06,0.343,2.5,0.182,0.622,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,2,0.258,0.064,0.343,2.542,0.205,0.625,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,3,0.256,0.062,0.342,2.478,0.191,0.615,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,4,0.252,0.06,0.341,2.431,0.212,0.622,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,5,0.255,0.064,0.339,2.466,0.208,0.621,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,1,0.242,0.06,0.337,1.012,0.227,0.609,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,2,0.243,0.06,0.334,1.0,0.226,0.626,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,3,0.241,0.06,0.337,1.09,0.18,0.639,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,4,0.244,0.063,0.335,1.024,0.201,0.619,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,5,0.243,0.062,0.334,1.038,0.233,0.606,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-040,TUBE-7B1-040,1,0.265,0.104,0.325,1.053,0.524,0.605,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-040,TUBE-7B1-040,2,0.259,0.102,0.325,0.985,0.555,0.623,x,PASS,Task-level robustness summary for balanced_pid.
forced_category_A_full,TASK-7B1-040,TUBE-7B1-040,3,0.259,0.104,0.325,1.081,0.541,0.616,x,PASS,Task-level robustness summary for balanced_pid.
