scenario_id,task_id,tube_id,trial_id,x_rmse_mm,y_rmse_mm,z_rmse_mm,x_max_abs_error_mm,y_max_abs_error_mm,z_max_abs_error_mm,worst_axis,task_status,notes
baseline,TASK-7B1-008,TUBE-7B1-008,2,0.219,0.151,0.331,0.962,0.642,0.624,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-008,TUBE-7B1-008,3,0.217,0.153,0.336,1.023,0.606,0.654,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-008,TUBE-7B1-008,4,0.215,0.154,0.332,0.885,0.725,0.612,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-008,TUBE-7B1-008,5,0.212,0.152,0.333,0.951,0.66,0.62,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-009,TUBE-7B1-009,1,0.222,0.149,0.326,0.864,0.592,0.622,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-009,TUBE-7B1-009,2,0.219,0.147,0.326,0.741,0.619,0.608,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-009,TUBE-7B1-009,3,0.219,0.147,0.329,0.815,0.593,0.624,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-009,TUBE-7B1-009,4,0.222,0.149,0.325,0.888,0.626,0.635,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-009,TUBE-7B1-009,5,0.222,0.149,0.328,0.797,0.722,0.63,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-010,TUBE-7B1-010,1,0.238,0.155,0.324,0.922,0.555,0.628,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-010,TUBE-7B1-010,2,0.239,0.157,0.321,0.813,0.494,0.61,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-010,TUBE-7B1-010,3,0.232,0.151,0.32,0.883,0.536,0.623,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-010,TUBE-7B1-010,4,0.237,0.153,0.322,0.854,0.527,0.642,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-010,TUBE-7B1-010,5,0.239,0.156,0.322,0.937,0.593,0.621,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-011,TUBE-7B1-011,1,0.257,0.151,0.319,1.25,0.828,0.647,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-011,TUBE-7B1-011,2,0.254,0.149,0.316,1.206,0.682,0.618,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-011,TUBE-7B1-011,3,0.254,0.148,0.316,1.293,0.766,0.617,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-011,TUBE-7B1-011,4,0.256,0.15,0.319,1.23,0.782,0.617,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-011,TUBE-7B1-011,5,0.257,0.151,0.316,1.245,0.639,0.63,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-012,TUBE-7B1-012,1,0.238,0.138,0.329,1.574,0.902,0.636,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-012,TUBE-7B1-012,2,0.232,0.135,0.33,1.436,0.98,0.619,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-012,TUBE-7B1-012,3,0.239,0.14,0.33,1.459,0.876,0.649,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-012,TUBE-7B1-012,4,0.228,0.137,0.33,1.468,0.887,0.627,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-012,TUBE-7B1-012,5,0.238,0.139,0.33,1.504,0.958,0.624,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-013,TUBE-7B1-013,1,0.234,0.178,0.321,1.348,0.894,0.624,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-013,TUBE-7B1-013,2,0.238,0.179,0.322,1.361,0.811,0.626,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-013,TUBE-7B1-013,3,0.236,0.183,0.322,1.281,0.8,0.607,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-013,TUBE-7B1-013,4,0.234,0.181,0.322,1.379,0.891,0.641,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-013,TUBE-7B1-013,5,0.237,0.186,0.321,1.323,0.922,0.632,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-014,TUBE-7B1-014,1,0.228,0.141,0.328,1.157,0.6,0.609,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-014,TUBE-7B1-014,2,0.229,0.136,0.331,1.113,0.55,0.648,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-014,TUBE-7B1-014,3,0.227,0.138,0.327,1.06,0.591,0.624,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-014,TUBE-7B1-014,4,0.229,0.134,0.329,1.14,0.526,0.638,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-014,TUBE-7B1-014,5,0.227,0.137,0.329,1.106,0.649,0.609,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-015,TUBE-7B1-015,1,0.24,0.142,0.325,0.808,0.526,0.625,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-015,TUBE-7B1-015,2,0.239,0.139,0.321,0.852,0.583,0.631,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-015,TUBE-7B1-015,3,0.242,0.143,0.321,0.836,0.499,0.61,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-015,TUBE-7B1-015,4,0.241,0.14,0.32,0.846,0.558,0.614,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-015,TUBE-7B1-015,5,0.239,0.137,0.324,0.848,0.546,0.626,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-016,TUBE-7B1-016,1,0.249,0.136,0.322,0.897,0.391,0.611,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-016,TUBE-7B1-016,2,0.249,0.134,0.319,0.868,0.381,0.632,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-016,TUBE-7B1-016,3,0.25,0.134,0.32,0.827,0.388,0.62,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-016,TUBE-7B1-016,4,0.247,0.137,0.319,0.808,0.411,0.623,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-016,TUBE-7B1-016,5,0.248,0.133,0.32,0.823,0.454,0.598,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-017,TUBE-7B1-017,1,0.239,0.119,0.333,1.072,0.594,0.622,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-017,TUBE-7B1-017,2,0.23,0.115,0.332,0.958,0.629,0.619,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-017,TUBE-7B1-017,3,0.234,0.114,0.334,1.061,0.583,0.652,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-017,TUBE-7B1-017,4,0.229,0.118,0.33,0.999,0.595,0.628,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-017,TUBE-7B1-017,5,0.234,0.117,0.335,1.019,0.693,0.644,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-018,TUBE-7B1-018,1,0.243,0.123,0.327,1.058,0.688,0.632,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-018,TUBE-7B1-018,2,0.244,0.127,0.327,1.026,0.833,0.616,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-018,TUBE-7B1-018,3,0.244,0.119,0.326,1.086,0.655,0.624,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-018,TUBE-7B1-018,4,0.245,0.118,0.326,1.034,0.721,0.617,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-018,TUBE-7B1-018,5,0.244,0.123,0.328,0.996,0.606,0.616,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-019,TUBE-7B1-019,1,0.164,0.207,0.331,0.861,0.844,0.642,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-019,TUBE-7B1-019,2,0.169,0.208,0.33,0.873,0.833,0.606,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-019,TUBE-7B1-019,3,0.169,0.211,0.328,0.784,0.82,0.628,y,PASS,Task-level robustness summary for balanced_pid.
