scenario_id,task_id,tube_id,waypoint_index,waypoint_name,x_mm,y_mm,z_mm,gripper_state,sample_category,target_type,target_box_id,source_slot_id,state_machine_status,notes
baseline,TASK-7B1-003,TUBE-7B1-003,6,move_xy_above_scan,0.0,20.0,190.0,closed,category_C,output_box,output_box_C,R1C3,completed_output,"scan is table-driven, no camera recognition"
baseline,TASK-7B1-003,TUBE-7B1-003,7,descend_or_align_to_scan,0.0,20.0,155.0,closed,category_C,output_box,output_box_C,R1C3,completed_output,scan alignment placeholder
baseline,TASK-7B1-003,TUBE-7B1-003,8,scan_wait,0.0,20.0,155.0,closed,category_C,output_box,output_box_C,R1C3,completed_output,barcode/status wait; no vision localization
baseline,TASK-7B1-003,TUBE-7B1-003,9,lift_to_safe_z_after_scan,0.0,20.0,190.0,closed,category_C,output_box,output_box_C,R1C3,completed_output,lift before place XY
baseline,TASK-7B1-003,TUBE-7B1-003,10,move_xy_above_place,180.0,10.0,190.0,closed,category_C,output_box,output_box_C,R1C3,completed_output,XY place move at safe_z
baseline,TASK-7B1-003,TUBE-7B1-003,11,descend_to_place,180.0,10.0,135.0,closed,category_C,output_box,output_box_C,R1C3,completed_output,Z descend allowed at place target
baseline,TASK-7B1-003,TUBE-7B1-003,12,grip_open,180.0,10.0,135.0,open,category_C,output_box,output_box_C,R1C3,completed_output,release tube
baseline,TASK-7B1-003,TUBE-7B1-003,13,lift_to_safe_z_after_place,180.0,10.0,190.0,open,category_C,output_box,output_box_C,R1C3,completed_output,return to safe_z after place
baseline,TASK-7B1-004,TUBE-7B1-004,1,home_safe,0.0,0.0,190.0,open,unknown,manual_review,manual_review_01,R1C5,completed_manual_review,safe home above rack/tube top
baseline,TASK-7B1-004,TUBE-7B1-004,2,move_xy_above_pick,-140.0,-170.0,190.0,open,unknown,manual_review,manual_review_01,R1C5,completed_manual_review,XY move only at safe_z
baseline,TASK-7B1-004,TUBE-7B1-004,3,descend_to_pick,-140.0,-170.0,145.0,open,unknown,manual_review,manual_review_01,R1C5,completed_manual_review,Z descend allowed at pick target
baseline,TASK-7B1-004,TUBE-7B1-004,4,grip_close,-140.0,-170.0,145.0,closed,unknown,manual_review,manual_review_01,R1C5,completed_manual_review,gripper action
baseline,TASK-7B1-004,TUBE-7B1-004,5,lift_to_safe_z,-140.0,-170.0,190.0,closed,unknown,manual_review,manual_review_01,R1C5,completed_manual_review,lift before XY travel
baseline,TASK-7B1-004,TUBE-7B1-004,6,move_xy_above_scan,0.0,20.0,190.0,closed,unknown,manual_review,manual_review_01,R1C5,completed_manual_review,"scan is table-driven, no camera recognition"
baseline,TASK-7B1-004,TUBE-7B1-004,7,descend_or_align_to_scan,0.0,20.0,155.0,closed,unknown,manual_review,manual_review_01,R1C5,completed_manual_review,scan alignment placeholder
baseline,TASK-7B1-004,TUBE-7B1-004,8,scan_wait,0.0,20.0,155.0,closed,unknown,manual_review,manual_review_01,R1C5,completed_manual_review,barcode/status wait; no vision localization
baseline,TASK-7B1-004,TUBE-7B1-004,9,lift_to_safe_z_after_scan,0.0,20.0,190.0,closed,unknown,manual_review,manual_review_01,R1C5,completed_manual_review,lift before place XY
baseline,TASK-7B1-004,TUBE-7B1-004,10,move_xy_above_place,-420.0,275.0,190.0,closed,unknown,manual_review,manual_review_01,R1C5,completed_manual_review,XY place move at safe_z
baseline,TASK-7B1-004,TUBE-7B1-004,11,descend_to_place,-420.0,275.0,135.0,closed,unknown,manual_review,manual_review_01,R1C5,completed_manual_review,Z descend allowed at place target
baseline,TASK-7B1-004,TUBE-7B1-004,12,grip_open,-420.0,275.0,135.0,open,unknown,manual_review,manual_review_01,R1C5,completed_manual_review,release tube
baseline,TASK-7B1-004,TUBE-7B1-004,13,lift_to_safe_z_after_place,-420.0,275.0,190.0,open,unknown,manual_review,manual_review_01,R1C5,completed_manual_review,return to safe_z after place
baseline,TASK-7B1-005,TUBE-7B1-005,1,home_safe,0.0,0.0,190.0,open,category_D,output_box,output_box_D,R1C6,completed_output,safe home above rack/tube top
baseline,TASK-7B1-005,TUBE-7B1-005,2,move_xy_above_pick,-115.0,-170.0,190.0,open,category_D,output_box,output_box_D,R1C6,completed_output,XY move only at safe_z
baseline,TASK-7B1-005,TUBE-7B1-005,3,descend_to_pick,-115.0,-170.0,145.0,open,category_D,output_box,output_box_D,R1C6,completed_output,Z descend allowed at pick target
baseline,TASK-7B1-005,TUBE-7B1-005,4,grip_close,-115.0,-170.0,145.0,closed,category_D,output_box,output_box_D,R1C6,completed_output,gripper action
baseline,TASK-7B1-005,TUBE-7B1-005,5,lift_to_safe_z,-115.0,-170.0,190.0,closed,category_D,output_box,output_box_D,R1C6,completed_output,lift before XY travel
baseline,TASK-7B1-005,TUBE-7B1-005,6,move_xy_above_scan,0.0,20.0,190.0,closed,category_D,output_box,output_box_D,R1C6,completed_output,"scan is table-driven, no camera recognition"
baseline,TASK-7B1-005,TUBE-7B1-005,7,descend_or_align_to_scan,0.0,20.0,155.0,closed,category_D,output_box,output_box_D,R1C6,completed_output,scan alignment placeholder
baseline,TASK-7B1-005,TUBE-7B1-005,8,scan_wait,0.0,20.0,155.0,closed,category_D,output_box,output_box_D,R1C6,completed_output,barcode/status wait; no vision localization
baseline,TASK-7B1-005,TUBE-7B1-005,9,lift_to_safe_z_after_scan,0.0,20.0,190.0,closed,category_D,output_box,output_box_D,R1C6,completed_output,lift before place XY
baseline,TASK-7B1-005,TUBE-7B1-005,10,move_xy_above_place,330.0,10.0,190.0,closed,category_D,output_box,output_box_D,R1C6,completed_output,XY place move at safe_z
baseline,TASK-7B1-005,TUBE-7B1-005,11,descend_to_place,330.0,10.0,135.0,closed,category_D,output_box,output_box_D,R1C6,completed_output,Z descend allowed at place target
baseline,TASK-7B1-005,TUBE-7B1-005,12,grip_open,330.0,10.0,135.0,open,category_D,output_box,output_box_D,R1C6,completed_output,release tube
baseline,TASK-7B1-005,TUBE-7B1-005,13,lift_to_safe_z_after_place,330.0,10.0,190.0,open,category_D,output_box,output_box_D,R1C6,completed_output,return to safe_z after place
baseline,TASK-7B1-006,TUBE-7B1-006,1,home_safe,0.0,0.0,190.0,open,category_A,output_box,output_box_A,R2C1,completed_output,safe home above rack/tube top
baseline,TASK-7B1-006,TUBE-7B1-006,2,move_xy_above_pick,-240.0,-145.0,190.0,open,category_A,output_box,output_box_A,R2C1,completed_output,XY move only at safe_z
baseline,TASK-7B1-006,TUBE-7B1-006,3,descend_to_pick,-240.0,-145.0,145.0,open,category_A,output_box,output_box_A,R2C1,completed_output,Z descend allowed at pick target
baseline,TASK-7B1-006,TUBE-7B1-006,4,grip_close,-240.0,-145.0,145.0,closed,category_A,output_box,output_box_A,R2C1,completed_output,gripper action
baseline,TASK-7B1-006,TUBE-7B1-006,5,lift_to_safe_z,-240.0,-145.0,190.0,closed,category_A,output_box,output_box_A,R2C1,completed_output,lift before XY travel
baseline,TASK-7B1-006,TUBE-7B1-006,6,move_xy_above_scan,0.0,20.0,190.0,closed,category_A,output_box,output_box_A,R2C1,completed_output,"scan is table-driven, no camera recognition"
baseline,TASK-7B1-006,TUBE-7B1-006,7,descend_or_align_to_scan,0.0,20.0,155.0,closed,category_A,output_box,output_box_A,R2C1,completed_output,scan alignment placeholder
