scenario_id,task_id,tube_id,segment_index,from_waypoint,to_waypoint,motion_type,axis_mode,start_x_mm,start_y_mm,start_z_mm,end_x_mm,end_y_mm,end_z_mm,segment_distance_mm,requires_safe_z,collision_check_required,notes
baseline,TASK-7B1-003,TUBE-7B1-003,5,lift_to_safe_z,move_xy_above_scan,xy_move_at_safe_z,xy_axes,-190.0,-170.0,190.0,0.0,20.0,190.0,268.701,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-003,TUBE-7B1-003,6,move_xy_above_scan,descend_or_align_to_scan,z_descend,z_axis,0.0,20.0,190.0,0.0,20.0,155.0,35.0,true,true,
baseline,TASK-7B1-003,TUBE-7B1-003,7,descend_or_align_to_scan,scan_wait,scan_wait,dwell,0.0,20.0,155.0,0.0,20.0,155.0,0.0,false,false,
baseline,TASK-7B1-003,TUBE-7B1-003,8,scan_wait,lift_to_safe_z_after_scan,z_lift,z_axis,0.0,20.0,155.0,0.0,20.0,190.0,35.0,true,true,
baseline,TASK-7B1-003,TUBE-7B1-003,9,lift_to_safe_z_after_scan,move_xy_above_place,xy_move_at_safe_z,xy_axes,0.0,20.0,190.0,180.0,10.0,190.0,180.278,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-003,TUBE-7B1-003,10,move_xy_above_place,descend_to_place,z_descend,z_axis,180.0,10.0,190.0,180.0,10.0,135.0,55.0,true,true,
baseline,TASK-7B1-003,TUBE-7B1-003,11,descend_to_place,grip_open,gripper_action,gripper,180.0,10.0,135.0,180.0,10.0,135.0,0.0,false,false,
baseline,TASK-7B1-003,TUBE-7B1-003,12,grip_open,lift_to_safe_z_after_place,z_lift,z_axis,180.0,10.0,135.0,180.0,10.0,190.0,55.0,true,true,
baseline,TASK-7B1-004,TUBE-7B1-004,1,home_safe,move_xy_above_pick,xy_move_at_safe_z,xy_axes,0.0,0.0,190.0,-140.0,-170.0,190.0,220.227,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-004,TUBE-7B1-004,2,move_xy_above_pick,descend_to_pick,z_descend,z_axis,-140.0,-170.0,190.0,-140.0,-170.0,145.0,45.0,true,true,
baseline,TASK-7B1-004,TUBE-7B1-004,3,descend_to_pick,grip_close,gripper_action,gripper,-140.0,-170.0,145.0,-140.0,-170.0,145.0,0.0,false,false,
baseline,TASK-7B1-004,TUBE-7B1-004,4,grip_close,lift_to_safe_z,z_lift,z_axis,-140.0,-170.0,145.0,-140.0,-170.0,190.0,45.0,true,true,
baseline,TASK-7B1-004,TUBE-7B1-004,5,lift_to_safe_z,move_xy_above_scan,xy_move_at_safe_z,xy_axes,-140.0,-170.0,190.0,0.0,20.0,190.0,236.008,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-004,TUBE-7B1-004,6,move_xy_above_scan,descend_or_align_to_scan,z_descend,z_axis,0.0,20.0,190.0,0.0,20.0,155.0,35.0,true,true,
baseline,TASK-7B1-004,TUBE-7B1-004,7,descend_or_align_to_scan,scan_wait,scan_wait,dwell,0.0,20.0,155.0,0.0,20.0,155.0,0.0,false,false,
baseline,TASK-7B1-004,TUBE-7B1-004,8,scan_wait,lift_to_safe_z_after_scan,z_lift,z_axis,0.0,20.0,155.0,0.0,20.0,190.0,35.0,true,true,
baseline,TASK-7B1-004,TUBE-7B1-004,9,lift_to_safe_z_after_scan,move_xy_above_place,xy_move_at_safe_z,xy_axes,0.0,20.0,190.0,-420.0,275.0,190.0,491.35,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-004,TUBE-7B1-004,10,move_xy_above_place,descend_to_place,z_descend,z_axis,-420.0,275.0,190.0,-420.0,275.0,135.0,55.0,true,true,
baseline,TASK-7B1-004,TUBE-7B1-004,11,descend_to_place,grip_open,gripper_action,gripper,-420.0,275.0,135.0,-420.0,275.0,135.0,0.0,false,false,
baseline,TASK-7B1-004,TUBE-7B1-004,12,grip_open,lift_to_safe_z_after_place,z_lift,z_axis,-420.0,275.0,135.0,-420.0,275.0,190.0,55.0,true,true,
