scenario_id,simulated_task_count,total_time_steps,max_time_s,velocity_PASS,velocity_WARNING,velocity_FAIL,acceleration_PASS,acceleration_WARNING,acceleration_FAIL,safe_z_PASS,safe_z_WARNING,safe_z_FAIL,motion_sweep_PASS,motion_sweep_WARNING,motion_sweep_FAIL,validation_status,notes
baseline,69,27911,533.461,207,0,0,207,0,0,828,0,0,207,621,0,PASS,Time-stepped Cartesian simulation summary; not final dynamics.
forced_category_A_full,69,27911,533.461,207,0,0,207,0,0,828,0,0,207,621,0,PASS,Time-stepped Cartesian simulation summary; not final dynamics.
manual_review_limited_capacity,67,27073,517.447,201,0,0,201,0,0,804,0,0,201,603,0,PASS,Time-stepped Cartesian simulation summary; not final dynamics.
pick_failure_test,68,27570,526.904,204,0,0,204,0,0,819,0,0,204,615,0,PASS,Time-stepped Cartesian simulation summary; not final dynamics.
